"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"1","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","chad has been awesome with the kids and holding down the fort while i work later than usual the kids have been busy together playing skylander on the xbox together after kyan cashed in his from his piggy bank he wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it he never taps into that thing either that is how we know he wanted it so bad we made him count all of his money to make sure that he had enough it was very cute to watch his reaction when he realized he did he also does",112,"a","get","see","good","found","happens","used","like","know","going","believe",0.0500000000029104,FALSE
"2","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.","although our beloved cantab can’t claim the international recognition afforded the station inn otherwise these two joints feel like twins separated by nothing more than distance they share a complete lack of pretense that",35,"can’t","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"3","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","i am enroute to cornwall again months of slog and sun and sea too always a job needs doing in a tourist",23,"town","season","town","group",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"4","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!","the one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so",27,"long","long",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"5","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”","a neighbor recommended “chasing fireflies” by charles martin i’d never read anything by martin before although he was this neighbor’s favorite author “fireflies” is the story of chase a journalist who never knew",34,"his","wanted","babies","going","immediately","id","time","much","good","take","just",0.0300000000061118,FALSE
"6","Fallout by Ellen Hopkins (p.1-140)","fallout",2,"by","ellen",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"7","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","april was a month for new beginnings firstly i finally finished my exams and if all is good i’ll be graduating in may it still feels weird to know that the business degree i’ve been working for four years is finally mine so now i’m in the process of looking for a new job secondly i finally began moving in with my boyfriend of four years and that’s a bit nervewrecking as for reading books the last week of april gave me an opportunity to relax and enjoy a few stories as you will see i have not finished much but i have successfully began several hefty novels i am happy with the progress i’ve",116,"made","though","called","given","moving","grant","invite",NA,NA,NA,NA,0,FALSE
"8","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","contains dmae which provides firming",6,"and","toning",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"9","for I did not come to condemn the world but to save the world.","for i did not come to condemn the world but to save the",14,"world","best","try","god","world","sauce","couple","daughter","money","children","lives",0.0599999999976717,TRUE
"10","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","come join us next tuesday february st for",9,"discussion","teresa","century","new","every","started","stop","details","current","black","june",0.0299999999988358,FALSE
