"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.","in the years thereafter most of the oil fields and platforms were",13,"named","named",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","We love you Mr. Brown.","we love you mr",5,"brown","brown",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","chad has been awesome with the kids and holding down the fort while i work later than usual the kids have been busy together playing skylander on the xbox together after kyan cashed in his from his piggy bank he wanted that game so bad and used his gift card from his birthday he",55,"has","has",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","so anyways i am going to share some home decor inspiration that i have",15,"been","been",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","with graduation season right around the corner nancy has whipped up a fun set to help you out with not only your graduation cards and gifts but any occasion that brings on a change in ones life i stamped the",41,"images","images",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.","peter schiff hard to tell it will look pretty bad for most americans when prices will go way up and they can’t afford to buy stuff it",28,"could","could",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","State contracts worth over 100 MILLION ringgit!","state contracts worth",4,"over","over",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","we attend",3,"our","friend",0.0199999999967986,TRUE,"our",NA,NA,NA,NA,NA,NA,NA,NA
"9","Fallout by Ellen Hopkins (p.1-140)","fallout by ellen hopkins",5,"p","p",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","either obamacongress etc give in or more likely refuse the",11,"group","group",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
