"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"1","He wasn't home alone, apparently.",5,"he","wasn't","home","alone","apparently","said","was","in",0.0199999999999818,FALSE
"2","The St. Louis plant had to close. It would die of old age. Workers had been making cars there since the onset of mass automotive production in the 1920s.",23,"there","since","the","onset","of","of","and","to",0.0299999999997453,TRUE
"3","WSU's plans quickly became a hot topic on local online sites. Though most people applauded plans for the new biomedical center, many deplored the potential loss of the building.",12,"on","local","online","sites","though","the","a","though",0.0300000000002001,TRUE
"4","The Alaimo Group of Mount Holly was up for a contract last fall to evaluate and suggest improvements to Trenton Water Works. But campaign finance records released this week show the two employees donated a total of $4,500 to the political action committee (PAC) Partners for Progress in early June. Partners for Progress reported it gave more than $10,000 in both direct and in-kind contributions to Mayor Tony Mack in the two weeks leading up to his victory in the mayoral runoff election June 15.",30,"records","released","this","week","show","is","season","year",0.0299999999997453,FALSE
"5","And when it's often difficult to predict a law's impact, legislators should think twice before carrying any bill. Is it absolutely necessary? Is it an issue serious enough to merit their attention? Will it definitely not make the situation worse?",16,"should","think","twice","before","carrying","the","he","an",0.0199999999999818,FALSE
"6","There was a certain amount of scoffing going around a few years ago when the NFL decided to move the draft from the weekend to prime time -- eventually splitting off the first round to a separate day.",9,"amount","of","scoffing","going","around","the","to","a",0.0300000000002001,FALSE
"7","14915 Charlevoix, Detroit",3,NA,NA,"","charlevoix","detroit",NA,NA,NA,NA,FALSE
"8","""It’s just another in a long line of failed attempts to subsidize Atlantic City,"" said Americans for Prosperity New Jersey Director Steve Lonegan, a conservative who lost to Christie in the 2009 GOP primary. ""The Revel Casino hit the jackpot here at government expense.""",6,"just","another","in","a","long","the","of","a",0.0299999999997453,FALSE
"9","But time and again in the report, Sullivan called on CPS to correct problems to improve employee accountability, saying, for example, that measures to keep employees from submitting fraudulent invoices or to block employees from accessing inappropriate websites were not in place.",42,"websites","were","not","in","place","the","a","for",0.0300000000002001,FALSE
"10","I was just trying to hit it hard someplace, said Rizzo, who hit the pitch to the opposite field in left-center. Im just up there trying to make good contact.",6,"was","just","trying","to","hit","the","a","be",0.0300000000002001,FALSE
"11","MHTA President and CEO Margaret Anderson Kelliher said construction would likely begin soon on a suite of offices on the building's fourth floor near the historic trading floor.",23,"on","the","building's","fourth","floor","of","and","the",0.0299999999997453,FALSE
"12","""The absurdity of attempting to bottle up news of such magnitude was too apparent,"" he would later write.",12,"news","of","such","magnitude","was","the","a","his",0.0199999999999818,FALSE
"13","GM labor relations vice president Diana Tremblay said the deal ""will enable GM to be fully competitive and has eliminated the gap with our competitors.""",23,"has","eliminated","the","gap","with","of","and","to",0.0300000000002001,FALSE
"14","Here is why Wandry matters. Our current system imposes a gift tax of up to 35% when taxpayers give assets away, with exceptions. Individuals now get one $5.12 million lifetime exemption, and they can also give up to $13,000 of assets a year to an unlimited number of recipients. (Next year the lifetime break is scheduled to drop to $1 million and the top rate to rise to 55%.)",61,"to","drop","to","","million","the","a","be",0.00999999999976353,FALSE
"15","""Cheap,"" he said. ""He hit me hard enough for me to really feel it."" And then Batum rose to his feet, squared his elbows up and performed his best elbow-throwing impression of the Suns 6-foot-10 forward.",36,"of","the","suns","foot","forward","of","the","and",0.0199999999999818,FALSE
"16","Andrade's children, Erin and son Patrick, are adults, and he said he was intrigued by the opportunity to play a mentoring role in the life of a high school student.",27,"in","the","life","of","a","the","a","of",0.0300000000002001,TRUE
"17","""Let your hair down; it looks better.""",7,"hair","down","it","looks","better","is","was","a",0.0299999999997453,FALSE
"18","Born on April 15, 1925 in Pozzuoli, Naples, Italy she resided in North Plainfield since her marriage in 1945.",5,"born","on","april","","","the","a","and",0.0199999999999818,FALSE
"19","House Minority Leader Nancy Pelosi and other top Democrats had called for Weiner's resignation.",6,"minority","leader","nancy","pelosi","and","and","nancy","pelosi",0.0100000000002183,TRUE
"20","The first is the love of self and the second, the love of money. Two Greek words, philautos and philargyros, succinctly express these concepts. Both, I detect, lie at the root of the world's problems. Certainly, this diagnosis is not novel. Why then are these destructive personality traits chronic in the human experience? Further, why are people who possess these attributes permitted to run rampant through communities and societies to the detriment of the greater population? The Protester seeks to curb the second phenomenon.",66,"permitted","to","run","rampant","through","the","a","be",0.0199999999999818,FALSE
"21","-- Also consider: 2004 Wyndham Bin 444 South Eastern Australia Cabernet Sauvignon ($11)",3,NA,NA,"","also","consider","a","the","to",0.0199999999999818,FALSE
"22","Added East Orange Mayor Robert Bowser: ""We will not tolerate this kind of violence. ... The shooter picked the wrong city. He will be apprehended.""",3,NA,NA,"added","east","orange","orange","coast","i",0,TRUE
"23","""Looking back on it now, I realize that if I would have stayed there, it would have gotten worse and I wouldn't be where I am now.""",5,"looking","back","on","it","now","the","is","a",0.0300000000002001,FALSE
"24","Others are afraid that if they have already had breast cancer, a mammogram could spread new cancer to the other breast, she said. Again, not true.",6,"are","afraid","that","if","they","the","you","they",0.0299999999997453,TRUE
"25","If Mr. Buffett has a guilty conscience, he can increase donations to charity or simply pay more in taxes. But suggesting we raise the taxes on the wealthy will lead to more problems than it solves.",18,"or","simply","pay","more","in","than","the","to",0.0100000000002183,FALSE
"26","If you're in the market for gently used, high-quality furniture, you'll want to check out ReDesign Home Consignment in Royal Oak. The other day, a lovely and traditional Thomasville dining table with eight chairs was less than $1,200.",27,"other","day","a","lovely","and","of","to","in",0.0299999999997453,FALSE
"27","Today's birthday (May 9): You have amazing powers of visualization. You'll paint your ideal world in words and images and then take steps to make it real.",24,"and","then","take","steps","to","the","a","to",0.0199999999999818,TRUE
"28","I liked theCareerBuilder.comad with the harried office worker and the chimpanzees. And I'm a sucker for the e-Trade babies, although this one yesterday wasn't as edgy and fun as the first two incarnations. And the Bud Light rescue dog Weego was OK, although it went on too long.",43,"dog","weego","was","ok","although","a","the","in",0.0199999999999818,FALSE
"29","BL – Knight 9.",3,NA,NA,"bl","","knight","knight",NA,NA,0.0100000000002183,TRUE
"30","The conference is reportedly working toward a new television deal with ESPN, and Neinas was pushing members to agree to a longterm grant of media rights to the league that would make it all but impossible for schools to bolt.",8,"reportedly","working","toward","a","new","of","to","in",0.0199999999999818,FALSE
"31","Not just by the one who's left at home, wondering whose number that is on your cellphone and where you got those grass stains on your shirt collar, but also by the third party who can reject your advances to go with another suitor.",24,"you","got","those","grass","stains","to","who","is",0.0199999999999818,FALSE
"32","Though Maryland is the wealthiest state in the country, all Maryland's children are not equal. Maryland is not exempt from the conditions that allowed the Trayvon Martin tragedy to occur. Our battle for equity for all of our children is not just against individuals, it is against established systems and institutions. Child-wellbeing indicators show disparities from infancy to adulthood. See Advocates for Children and Youth at http://www.acy.org for more information. There are health disparities in infant mortality and low-birthweight babies. There are educational disparities in academic achievement and disparate administering of school discipline policies such as suspensions, expulsions, and school-based arrests. There are child welfare system disparities that show children of color being removed from home at higher rates than their white counterparts. There are juvenile justice system disparities at every stage from arrest to placement to youth being tried as adults.",124,"than","their","white","counterparts","there","own","there","the",0.0100000000002183,TRUE
"33","It isn’t a question of whether the school wants the former Florida and Utah coach. It’s a question of whether he wants the school. Why would he step into this cesspool when he can have his pick of jobs?",10,"whether","the","school","wants","the","of","to","and",0.0399999999999636,FALSE
"34","Barrett acknowledges now that he might have been too brusque at times.",3,NA,NA,"barrett","acknowledges","now",NA,NA,NA,NA,FALSE
"35","In other trading:",3,NA,NA,"in","other","trading","the","a","for",0.0100000000002183,FALSE
"36","It is easy to check on whether a parent attends a conference with a teacher or performs volunteer hours at school. But a parent's most valuable contribution typically occurs elsewhere -- in ensuring homework gets done and in making it clear to their children that school is important.",5,"it","is","easy","to","check","the","a","be",0.0299999999997453,FALSE
"37","Greg Roberts, Ancora's acting director, said the state is attempting to improve security, leadership, staffing and patient care, but he stressed: ""It is going to take time. We are literally starting with basics. It will take a year-plus to get some sustainable changes.""",41,"a","yearplus","to","get","some","the","a","be",0.0199999999999818,FALSE
"38","At Fontbonne University, Study Abroad director, Gail Schafers, conceded that most students interested in study abroad opportunities were choosing summer and short term travel programs that last between three and four weeks. To conduct these programs, Fontbonne partners with a consortium of other private universities.",40,"programs","fontbonne","partners","with","a","the","a","his",0.0300000000002001,TRUE
"39","Drage Vukcevich",2,NA,NA,NA,"drage","vukcevich","vukcevich",NA,NA,0,TRUE
"40","""Be quick, but don't hurry.""",4,NA,"be","quick","but","don't","the","it","i",0.00999999999976353,FALSE
"41","In light of Alex Gonzalez's 413-foot homer on his previous at-bat, Lohse didn't seem to mind walking Gonzalez to load the bases. He did, however, mind walking George Kottaras on a 3-1 pich well out of the strike zone.",25,"the","bases","he","did","however","said","of","was",0.0399999999999636,FALSE
"42","After the blue wall was painted I decided to brighten up the dining room table and chairs. Three of the five chairs were painted the same cream color as the interior trim, and a bold green replaced the mustard yellow on the table base.",11,"i","decided","to","brighten","up","the","a","be",0.0100000000002183,FALSE
"43","Medina Sting 2, North York Blues 6",5,"medina","sting","","north","york","of","american","special",0.0199999999999818,FALSE
"44","Light, simple, and relying heavily on stove-top and cold preparation, crab might make a nice early Thanksgiving menu for those who must shuttle between families. It could also work for families like mine who eat late and want a snack but must keep the oven free for the hated bird.",45,"but","must","keep","the","oven","of","and","to",0.0299999999997453,FALSE
"45","The new law, which takes effect immediately, requires bareheaded riders 21 and older to carry at least $20,000 in additional medical insurance. Riders also must have passed a motorcycle safety course or have had their motorcycle endorsement for at least two years. These safeguards are woefully inadequate, given the increased risks and medical costs that come with riding without a helmet.",19,"carry","at","least","","in","the","a","home",0,FALSE
"46","""(Abby's) one of 10 (siblings) and I'm one of two,"" Sharp said. ""I think somewhere between two and 10 we'll compromise.""",12,"one","of","two","sharp","said","the","a","his",0.0300000000002001,FALSE
"47","After last night’s match, she sat in her chair next to the umpire’s stand and tried to keep from crying — it was the fewest amount of games won in a women’s U.S. Open final since 1976.",17,"umpires","stand","and","tried","to","the","to","a",0.0300000000002001,TRUE
"48","Laura Taiby says she last saw her daughter, Laudan Taiby, as she was leaving their home in the 6700 block of Southwest 14th Avenue in the Hillsdale area about 5 p.m. Monday.",19,"their","home","in","the","","of","the","and",0.0299999999997453,FALSE
"49","New York forward Amare Stoudemire will sit out Game 3 of the Knicks' playoff series against the Miami Heat after cutting his left hand, a person with knowledge of the situation said Tuesday, and NBA.com is reporting that Stoudemire will miss the rest of the series.",35,"situation","said","tuesday","and","nbacom","the","a","to",0.0199999999999818,FALSE
"50","Another strong month of hiring makes it less likely that the Federal Reserve will take additional steps to boost the economy at its meeting next week.",18,"will","take","additional","steps","to","be","to","the",0.0300000000002001,TRUE
"51","Fire crews battle thousands of wildfires in California every year. This map shows areas burned in over 7,000 of the largest wildfires between 1950 and 2010. It includes data from the California Department of Forestry and Fire Protection and federal agencies including the U.S. Forest Service. The fires shown here all are estimated to have burned more than 100 acres, but the data does not include some grass fires that burned fewer than 300 acres.",28,"","and","","it","includes","is","a","was",0.00999999999976353,FALSE
"52","6680 SW Raleighview Ct; 3,935 square feet; on 1/27/2012 for $360,900",5,"","sw","raleighview","ct","","ct","raleighview","square",0.0199999999999818,FALSE
"53","Arrieta (2-3) allowed six runs and nine hits in 6 1-3 innings. He yielded a career-high three homers, matching the total he surrendered in his first six starts this season.",23,"matching","the","total","he","surrendered","said","of","was",0.0300000000002001,FALSE
"54","When Junior walked into the memorial service Sunday, ""it was a surprise to everyone,"" Doug Smith, Oceanside's postmaster, told me.",11,"service","sunday","it","was","a","a","the","in",0.0299999999997453,TRUE
"55","Perhaps it's time to make the situation worse. Or, more precisely, to square your shoulders against your guiding fear, that wave of disapproval. First, accept that it's probably coming anyway, no matter what you do.",31,"it's","probably","coming","anyway","no","not","and","no",0.0300000000002001,TRUE
"56","""We don't think $458 million is representative of the cost of this project,"" said Obletz. ""We think that number represented a series of the most expensive sub-options. Our task now is to sort through them, get rid of the expensive sub-options and try to ratchet the project back to a more affordable level.”",41,"rid","of","the","expensive","suboptions","of","the","and",0.0399999999999636,FALSE
"57","Context: Last summer, when a panel of growers and winemakers at Foothill Grape Day in Plymouth got around to talking of barbera's role at the table, Justin Boeger remarked: ""Barbera is what I bring to dinner when I don't know the menu. It's versatile."" Other than that, any Italian dish enhanced with tomatoes is traditionally paired with barbera.",56,"with","tomatoes","is","traditionally","paired","to","the","a",0.0100000000002183,FALSE
"58","Utah's Legislature subsequently passed a pilot guest-worker program.",7,"subsequently","passed","a","pilot","guestworker","of","in","to",0,FALSE
"59","""The Voice,"" NBC's upstart singing competition, is back for its second season Sunday, and the network is kicking it off in prime-time style -- positioning it right after the Super Bowl.",27,"style","","positioning","it","right","is","was","a",0,FALSE
"60","Three people were killed and more than 50 injured amid a horrific scene strewn with smoking debris.",6,"people","were","killed","and","more","the","a","to",0.0199999999999818,FALSE
"61","That's something! But no help with my ticket.",3,NA,NA,"that's","something","but","why","we're","what",0.00999999999976353,FALSE
"62","Translation: The main health issue that caused Meyer to resign at UF was a sick program he left on life support. Meyer bolted UF because his program was imploding. He left new coach Will Muschamp with a crumbling shell of a team that was bereft of discipline, decency and depth.",11,"caused","meyer","to","resign","at","the","a","be",0.0199999999999818,FALSE
"63","Bynum won the tip. The ball was brought downcourt and Bynum slammed it home. In fact Bynum had six of the Lakers first 12 points. Pau Gasol was also effective with four of the points, meaning that 10 of the Lakers' first 12 points were by the big men.",2,NA,NA,NA,"bynum","won","in","but","had",0,FALSE
"64","Even though its workforce is shrinking, the company said it remains committed to the Colorado market.",9,"is","shrinking","the","company","said","of","and","to",0.0100000000002183,FALSE
"65","WOW! Children's Museum",2,NA,NA,NA,"wow","children's",NA,NA,NA,NA,FALSE
"66","10. Youngstown",2,NA,NA,NA,"","youngstown",NA,NA,NA,NA,FALSE
"67","""I kept pitching like it was a one-run game,"" he said. ""I never even looked at the scoreboard.""",4,NA,"i","kept","pitching","like","have","think","don't",0.00999999999976353,FALSE
"68","The prepaid-tuition program has stopped accepting new customers. The Illinois Student Assistance Commission says new leadership has already begun making changes and adding new safeguards.",16,"assistance","commission","says","new","leadership","york","jersey","law",0.0199999999999818,FALSE
"69","She's often called ""spry"" because it seems synonymous with any senior citizen who refuses to fade into nonexistence. But a better word might be undaunted.",2,NA,NA,NA,"she's","often","going","still","happy",0.0199999999999818,FALSE
"70","""We always know teams are gonna come out more fired up in the second game, and we accept the challenge,"" Dick said.",9,"are","gonna","come","out","more","of","the","and",0.0100000000002183,FALSE
"71","""You get kind of beat up after not finding a way to get out of that first round,"" captain Shane Doan said. ""But it's only halfway. We've got to win four more and then regroup again.""",6,"get","kind","of","beat","up","the","a","his",0.0199999999999818,FALSE
"72","The U.S.-led coalition routinely reports each time an American or other foreign soldier is killed by an Afghan in uniform, but the military is under-reporting the number of overall attacks. The Associated Press reported earlier this month that the International Security Assistance Force, or ISAF, does not report attacks in which the Afghan wounds  or misses  his U.S. or allied target. It also doesn't report the wounding of troops who were attacked alongside those who were killed.",3,NA,NA,"the","usled","coalition","of","and","to",0.00999999999976353,FALSE
"73","That means advancing past the first round, then pushing Miami or Chicago, the likely second-round opponent, to at least six games, if not pulling off the upset.",7,"advancing","past","the","first","round","of","and","to",0.0199999999999818,FALSE
"74","""They're supposed to be all checked out,"" said the father of the teenage girl involved in the incident. ""Something is not right.""",15,"of","the","teenage","girl","involved","of","the","and",0.0300000000002001,FALSE
"75","People close to the Edwardses, speaking privately, say they have been torn about whom to support. The former North Carolina senator is concerned that Obama may not be ready for the presidency and that his health care plan is inferior. But Edwards was highly critical of Clinton -- her policies, her ties to special interests and her character -- during his campaign, making it more difficult to support her now.",66,"campaign","making","it","more","difficult","than","is","was",0.0300000000002001,FALSE
"76","San Diego 22, Crawford 0. Amberg (SD) 2-3, 2 runs; Acosta (SD) 2-2, 1 run; Mills (SD) HR.",7,"","crawford","","amberg","sd",NA,NA,NA,NA,FALSE
"77","Bon Jovi is in the middle of a stadium tour to support its latest album, “The Circle.” And tonight’s show — the first of four to be held at New Meadowlands Stadium this summer — might simply feel like “the next important one” to a group accustomed to playing shows of import.",45,"next","important","one","to","a","the","a","be",0.0199999999999818,TRUE
"78","4 cups chicken or fish stock",2,NA,NA,NA,"","cups",NA,NA,NA,NA,FALSE
"79","NEW YORK — Kirk Nieuwenhuis joked that his keepsake, the game ball he was given to commemorate his first major-league hit, will always be a bit dusty.",24,"majorleague","hit","will","always","be","be","the","take",0.0199999999999818,TRUE
"80","He is on trial in U.S. District court with Gabor, who served as Dimora's driver and is one of the former commissioner's closest friends. Gabor's lawyer will return today to give his closing arguments and jurors could begin deliberating by the afternoon.",10,"us","district","court","with","gabor","the","a","his",0.0300000000002001,FALSE
"81","While most of the wines are from Napa Valley and elsewhere in California, the international selections round out the list nicely. On any given night, 26 wines are offered by the glass (plus 17 dessert offerings), with a good selection of half bottles.",7,"of","the","wines","are","from","of","the","to",0.0299999999997453,FALSE
"82","""I know I've been criticized a little bit for not playing as much as some other guys leading into these few weeks, but I know I've got a big stretch coming up, and I want to be as fresh as possible for this.""",28,"i","know","i've","got","a","to","a","his",0.0199999999999818,TRUE
"83","DK: And therefore it should be privileged?",2,NA,NA,NA,"dk","and",NA,NA,NA,NA,FALSE
"84","But board members also expressed concerns about reducing how much schools get per student, saying a time when the general fund budget is going to be cut is the wrong time to thin the soup on Title I funding, too.",2,NA,NA,NA,"but","board","the","it","i",0.0100000000002183,FALSE
"85","Scarlett Johansson filmed scenes at an old warehouse on Ashland Road near Longfellow Avenue, off Cedar Road near the Norfolk Southern railroad tracks. The warehouse was the site of top-secret filming and doubled as a Russian facility.",32,"site","of","topsecret","filming","and","the","a","his",0.0199999999999818,FALSE
"86","The declaration would permit the Federal Emergency Management Agency to supplement state and local relief efforts.",16,"state","and","local","relief","efforts","the","a","to",0.0299999999997453,FALSE
"87","NEWARK — A Newark woman accused of animal cruelty in a pit bull abuse case tied the dog to a railing and left New Jersey for more than a week, according to the Essex County Prosecutor’s Office.",22,"dog","to","a","railing","and","the","of","a",0.0300000000002001,FALSE
"88","Set designer Bjorn G. Amelan has supplied transparent room-dividers and a sofa, wryly suggesting that Jones’ memories resemble mental furniture. Much of this brilliant work, set to an eclectic score by Ted Coffey, depends upon a tension between the immediacy of lived experience—dancing, or biting into a juicy, green apple—and our subsequent need to measure, re-arrange and transmit our impressions before they vanish forever.",27,"this","brilliant","work","set","to","is","for","the",0.0199999999999818,FALSE
"89","Scholar wrote of Coleridge's plagiarism",2,NA,NA,NA,"scholar","wrote",NA,NA,NA,NA,FALSE
"90","The picks are doled out on the basis of a team's net loss in free agency the previous year: unrestricted free agents lost vs. unrestricted free agents signed. Salary, playing time and postseason honors also factor in. In 2011, the Browns lost Abe Elam, Matt Roth, Chansi Stuckey, Jason Trusnik, Lawrence Vickers, Floyd Womack and Eric Wright. They signed Brandon Jackson, Dimitri Patterson and Usama Young.",37,"postseason","honors","also","factor","in","a","giving","filled",0.0100000000002183,FALSE
"91","The investment by Ford and joint venture partner Changan Ford Mazda Automobile will expand Fords capacity in Chongqing by 350,000 vehicles, bringing total capacity to 950,000 vehicles annually.",17,"will","expand","fords","capacity","in","be","the","and",0.0199999999999818,FALSE
"92","Cejudo received a standing ovation from the nearly 14,000 in attendance in Iowa City, and he thanked them by tossing his shoes their way.",5,"cejudo","received","a","standing","ovation","of","to","in",0.00999999999976353,FALSE
"93","323 Weber Dr, $55,440",2,NA,NA,NA,"","weber",NA,NA,NA,NA,FALSE
"94","ø""It's your job to try to find another position to make them happy. Sometimes it's not doable, like if you've got six horses outside you. And you have to go to another plan.""",13,"position","to","make","them","happy","the","a","be",0.0300000000002001,FALSE
"95","Thus, San Antonio and Oklahoma City posted the top two records in the West. San Antonio coach Gregg Popovich, not the Coach of the Year for nothing, defiantly rested his stars in a rebuke to the 66-game sprint. It worked; the Spurs won 50 games. Oklahoma City's best players aren't old enough to know tired.",11,"posted","the","top","two","records","of","and","to",0.0299999999997453,FALSE
"96","""They said there was minimal contact,"" Brown said, ""so it was a correct no-call.""",4,NA,"they","said","there","was","the","are","a",0.0199999999999818,FALSE
"97","""She's happy for me, but she's still on me with the grades,"" Williams said. ""She's glad I'm getting a scholarship so she doesn't have to pay for anything. I have a 3.0 GPA, and for the NCAA (Clearing House) the only thing left to do is send my SAT scores. The academic advisor (at USF) said I am on track for admission.""",29,"to","pay","for","anything","i","the","a","be",0.0300000000002001,FALSE
"98","Radio Radio",2,NA,NA,NA,"radio","radio","outside","messages","frequency",0,FALSE
"99","For Square 19, we find ourselves in a neighborhood that was long considered to be the wrong side of the tracks.",2,NA,NA,NA,"for","square","the","a","and",0.0199999999999818,FALSE
"100","The pair began writing what would become the pilot episode of ""Salemia"" in February. Characters include a mayor, played by a 2008 candidate for Salem mayor, Lloyd Chapman (who was not elected). The ""Salemia"" mayor has two bumbling interns tasked with correcting Salem's image problem.",39,"mayor","has","two","bumbling","interns","a","to","been",0.00999999999976353,FALSE
"101","The sisters didn’t even know where he was buried. After their mother died in 2009, they started searching the Internet for any information on Moszek “Mike” Zanger. They soon learned more than their mother ever knew about his final months, thanks to the dogged work of a pair of World War II buffs.",41,"about","his","final","months","thanks","from","later","we've",0.0300000000002001,FALSE
"102","Previous uses of gene therapy in experiments have suggested that leukemia caused by the viruses that transfer the genes to the cells might be a risk. The finding allays that concern, enabling researchers to move beyond immediately life-threatening illnesses, such as HIV and cancer, said Bruce Levine, a study author and researcher at the University of Pennsylvania.",8,"gene","therapy","in","experiments","have","the","a","for",0,FALSE
"103","""We're on the radar a little bit now,"" Sim said. ""A lot of teams think we can be a sleeper, but we have to come in with a chip on our shoulder. We haven't proven anything yet. We overachieved last year, but we still want to get better.""",20,"we","can","be","a","sleeper","of","to","in",0.0399999999999636,FALSE
"104","Gattone was charged with possession of a controlled dangerous substance and possession of paraphernalia.",2,NA,NA,NA,"gattone","was","was","charged",NA,0,TRUE
"105","Karen Neuman sensed a moment of hesitation from the driver to her right Saturday on Rockside Road at Interstate 77 in Independence. That's how she knew to expect company in her lane . . . again.",25,"in","independence","that's","how","she","the","a","they",0.0300000000002001,FALSE
"106","Across the street, Ed Nance can't believe the substation started Thursday's power outage for almost 7 million people.",7,"street","ed","nance","can't","believe","believe","and","get",0.0299999999997453,TRUE
"107","Neal and Read swapped goals to open the second. Staal knocked in a rebound to help the Penguins close to 5-4.",5,"neal","and","read","swapped","goals","the","a","to",0.0100000000002183,FALSE
"108","Minnesota at Detroit, 1 p.m.",4,NA,"minnesota","at","detroit","","the","a","home",0.0199999999999818,FALSE
"109","Rutgers coach Kyle Flood, who picked up on the design theme when Schiano left for the NFL, says the new uniforms will make Rutgers ""look like the class of college football.""",17,"schiano","left","for","the","nfl","of","and","the",0.0299999999997453,FALSE
"110","""She sees spider venom as the ""hook"" to get others excited about science, and it works,"" wrote Jane Hunter, dean of the College of Arts and Sciences.",26,"the","college","of","arts","and","the","a","of",0.0199999999999818,FALSE
"111","DUBLIN -- Letting your telephone ring in a courtroom is rarely a good idea. Taking the call is worse.",3,NA,NA,"dublin","","letting","letting",NA,NA,0.0100000000002183,TRUE
"112","Then comes the defense, which has played outstanding all season and deserves much credit for those gaudy goalie stats. And not only do they protect the net, they produce. Kevin Shattenkirk's 23 points ranks 18th in the league among defensemen and Alex Pietrangelo comes in right behind him with 21 points, good enough for 26th among defensemen. And with Shatty (plus-17), Petro (+14) and Barret Jackman (+13), the Blues have three defensemen who rank in the top",73,"blues","have","three","defensemen","who","been","to","and",0.0299999999997453,FALSE
"113","""I was rough, not focused. College Track holds you to certain expectations. I didn't always do what I was supposed to do. I'm not a perfect student, but now I really feel respected for my effort.""",23,"was","supposed","to","do","i'm","the","a","be",0.0199999999999818,FALSE
"114","In a dissenting opinion, one justice said the decision establishes a troublesome precedent.",6,"a","dissenting","opinion","one","justice","of","in","the",0.0300000000002001,FALSE
"115","That information, and more, is available from the agency that regulates doctors, the state Board of Professional Registration for the Healing Arts.",3,NA,NA,"that","information","and","the","he","will",0.0199999999999818,FALSE
"116","Argentine Foreign Minister Hector Timerman increased the rhetoric Sunday after British Defense Secretary Philip Hammond said Argentina should apologize for the ad.",4,NA,"argentine","foreign","minister","hector","minister","who","hector",0.0100000000002183,TRUE
"117","Yes, Mormons love families. But the family-values facade applies only if you stay in the fold. Former Mormons know the family estrangement and bigotry that often come with questioning or leaving the church.",14,"only","if","you","stay","in","to","have","the",0.0299999999997453,FALSE
"118","The race was marred by a late scare involving Mike Affarano. He smashed into the outer wall after Zach Ralston made contact from behind, then flipped six times before landing on the driver's side. He was treated and released.",4,NA,"the","race","was","marred","of","a","the",0.0199999999999818,FALSE
"119","Questionable Calls: Wilson was a major reach at the 48th overall selection as a safety with suspect range who wasn't much of a ball-hawk at Illinois. Though New England was wise to concentrate on defense, a young receiver that can get down the field vertically would have been a worthwhile investment in either the second or third round.",20,"with","suspect","range","who","wasn't","are","is","lives",0.0300000000002001,FALSE
"120","As the officers and the St. Andres sat in a row behind eight defense lawyers this morning, about a dozen family and friends of the officers watched from the audience.",13,"in","a","row","behind","eight","the","of","a",0.00999999999976353,FALSE
"121","The glistening court beckoned. As Bowie filed onto the hardwood behind 26-year-old guard/stand-up comedian Terry Hosley, general manager John Wolfe — a man with admittedly no basketball experience — looked on from the sideline. Coach Bob Topp, who spent much of the day working 15 miles down the road as a middle-school athletic director, rolled a half-dozen basketballs underneath the hoop with the help of his college-age daughter. Players continued to trickle in, some wearing the business wear of their 9-to-5 existences.",17,"guardstandup","comedian","terry","hosley","general","terry","hosley","general",0.0399999999999636,TRUE
"122","The Knights edged runner-up Trenton by a single stroke for the title when senior Jesse Miller sank a clutch putt on the par-3 18th.",12,"single","stroke","for","the","title","of","and","the",0.0100000000002183,FALSE
"123","A gust of popularity",4,NA,"a","gust","of","popularity","the","a","his",0.0199999999999818,FALSE
"124","Silver Creek def. Mountain View 25-19, 25-12, 25-19",3,NA,NA,"silver","creek","def","road",NA,NA,0,FALSE
"125","Parma Mayor Tim DeGeeter said he received a text from his friend and predecessor, Dean DePiero: ""It's snowing,"" it read. ""Good luck!""",6,"mayor","tim","degeeter","said","he","the","he","a",0.0199999999999818,TRUE
"126","Asserting that the health care act ""tramples on the rights of Ohio citizens"" and is a ""huge federal overreach,"" DeWine shot a letter to Florida Attorney General Pamela Jo Bondi asking to have Ohio added to the list of plaintiffs seeking to overturn the law.",29,"florida","attorney","general","pamela","jo","growth","and","with",0.0100000000002183,FALSE
"127","Now, Seton Hall heads into yet another postseason filled with disappointment.",11,"another","postseason","filled","with","disappointment","the","a","his",0.0199999999999818,FALSE
"128","It becomes hard for unions to protect wages in ""industries that have alternatives, where you have companies with lower prices,"" said David Smith, a labor economist at Pepperdine University. ""Markets are just becoming more and more competitive.""",21,"companies","with","lower","prices","said","the","a","said",0.0300000000002001,TRUE
"129","Michel said the final stadium vote in the coming days would be difficult for many legislators, but said the Vikings are ""one of the things that put us on the map.""",16,"be","difficult","for","many","legislators","the","a","and",0.0299999999997453,FALSE
"130","-- Portland Timbers Media Relations",2,NA,NA,NA,"","portland",NA,NA,NA,NA,FALSE
