"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"1","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.","other friends have similar stories of how they were treated brusquely by laurelwood staff and as often as not the same names keep coming up about a halfdozen friends of mine refuse to step foot in there ever again because of it how",44,"many","many",0.0600000000122236,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","winter is the time when all sleeps on some level it is a time of turning within to make contact with your own innermost being winter is the best time to do this and as a result get answers for yourself about whatever concerns you it is also a tremendously creative time a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen so that an image of balance can be presented those of you that write we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation person or world to those of you who like priscilla work",127,"with","with",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","i am enroute to cornwall again months of slog and sun and sea too always a job needs doing in a tourist",23,"town","town",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!","the one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so",27,"long","and",0.00999999999476131,TRUE,"long",NA,NA,NA,NA,NA,NA,NA,NA
"5","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","we attend our friend kendras wedding such",8,"a","joy",0.0200000000040745,TRUE,"a",NA,NA,NA,NA,NA,NA,NA,NA
"6","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”","a neighbor recommended “chasing fireflies” by charles martin i’d never read anything by martin before although he was",19,"this","this",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","contains dmae which provides firming and toning benefits enhances facial contours an antiinflammatory that enhances the strength of other antioxidant therapiesvitamin c ester patented a powerful",27,"antioxidant","for",0.0300000000133878,TRUE,"antioxidant","statements","tools",NA,NA,NA,NA,NA,NA
"8","for I did not come to condemn the world but to save the world.","for i",3,"did","can",0.0199999999895226,TRUE,"look","cant","have","not","had","should","did",NA,NA
"9","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and i haven’t had one that has changed",85,"my","my",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","let’s say hypothetically there is a bomb threat inside an airport and there is only minutes remaining it will explode inside the building",24,"there","there",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","‘Tis all.","‘tis",2,"all",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was",28,"unconstitutional","very",0.0299999999988358,FALSE,"like","years","water","one","getting","now","turn","hill","parga"
"13","I am 32 weeks pregnant!","i am",3,"weeks","wife",0.00999999999476131,FALSE,"thinking","dye","sheer","pregnant","glad","of","the","to","a"
"14","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","i have it on good authority that everyone in this company particularly the strikers recieved gifts in the companyorganised secret santa i also know that the strikers attended the companyfunded xmas party where they partook in the companyfunded luncheon they also recieved vouchers to the value of k",49,"from","the",0.0200000000040745,TRUE,"from",NA,NA,NA,NA,NA,NA,NA,NA
"15","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.","prepare chicken fillets by flattening out a little on a board they need to be thin and able to roll up",22,"with","a",0.0299999999988358,TRUE,"with",NA,NA,NA,NA,NA,NA,NA,NA
"16","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","well im off to clean up my craft space since its a mess after working on my projects for this fun hop have a wonderful week everyone and i hope to have a project or two to share very soon until next time take",45,"care","care",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may truly and devoutly serve you through our",51,"lord","lord",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.","complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting",36,"in","in",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","3 T ketchup","t",2,"ketchup","ketchup",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on piano and joe mack and bill salter on bass the band who play both loose and funky without ever",42,"sounding","seen",0.0200000000040745,FALSE,"caleb","beer","playing","cake","sloppy","to","in","because","yourself"
"21","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.","i was worried i wasn’t going to like this and not because i have an unhealthy love of comic book heroes and unrealistic expectations no i was",28,"worried","worried",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.","whether you’re looking at investing in residential commercial or industrial property the urban redevelopment authority’s ura area planning and guidelines will have",23,"a","put",0.0299999999988358,TRUE,"longterm","few","a","to",NA,NA,NA,NA,NA
"23","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.","thus began my frantic",5,"sprint","sprint",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
