"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.",13,"fields","and","platforms","were","named","i","the","a",0.0300000000002001,FALSE
"2","We love you Mr. Brown.",5,"we","love","you","mr","brown","have","are","can",0.0299999999997453,FALSE
"3","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.",56,"from","his","birthday","he","has","was","has","is",0.0300000000002001,TRUE
"4","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.",15,"inspiration","that","i","have","been","to","a","was",0.0299999999997453,FALSE
"5","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!",41,"life","i","stamped","the","images","of","and","to",0.0500000000001819,FALSE
"6","If you have an alternative argument, let's hear it! :)",3,NA,NA,"if","you","have","are","can","have",0.0199999999999818,TRUE
"7","If I were a bear,",4,NA,"if","i","were","a","to","have","was",0.0100000000002183,FALSE
"8","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.",7,"have","similar","stories","of","how","the","a","my",0.0299999999997453,FALSE
"9","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.",45,"very","ordinariness","makes","them","special","the","all","and",0.0199999999999818,FALSE
"10","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.",24,"and","they","cant","afford","to","the","i","a",0.0399999999999636,FALSE
"11","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.",136,"designs","we","would","say","remember","have","be","like",0.0199999999999818,FALSE
"12","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.",35,"","on","friday","will","need","be","the","to",0.0300000000002001,FALSE
"13","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?",35,"sweetener","why","would","you","do","have","are","can",0.0199999999999818,FALSE
"14","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“",60,"and","when","necessary","to","safeguard","the","be","a",0.0299999999997453,FALSE
"15","State contracts worth over 100 MILLION ringgit!",7,"worth","over","","million","ringgit","the","a","and",0.0100000000002183,FALSE
"16","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”",14,"by","your","own","fairytale","by","the","and","own",0.0399999999999636,FALSE
"17","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!",70,"a","few","people","were","seen","of","to","a",0.0300000000002001,FALSE
"18","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.",5,"we","attend","our","friend","kendra's","have","and","lives",0.0299999999997453,FALSE
"19","A neighbor recommended “Chasing Fireflies” by Charles Martin. I’d never read anything by Martin before, although he was this neighbor’s favorite author. “Fireflies” is the story of Chase, a journalist who never knew his parents and was adopted by “Unc,” a colorful resident of a small Georgia town whose sayings and kind heart make him a memorable character. Chase is investigating the story of another orphan, this one a mute boy pushed out of a car on train tracks just before a train hit and killed his loser custodial “parent.”",31,"of","chase","a","journalist","who","of","the","lot",0.0100000000002183,FALSE
