"","x"
"1",1
"2",3
"3",4
"4",7
"5",12
"6",14
"7",16
"8",17
"9",19
"10",22
"11",23
"12",24
"13",26
"14",27
"15",28
"16",29
"17",32
"18",33
"19",34
"20",35
"21",37
"22",39
"23",40
"24",41
"25",42
"26",43
"27",45
"28",48
"29",49
"30",51
"31",52
"32",54
"33",55
"34",57
"35",58
"36",61
"37",62
"38",65
"39",66
"40",67
"41",68
"42",70
"43",71
"44",74
"45",75
"46",78
"47",79
"48",80
"49",81
"50",83
"51",84
"52",85
"53",87
"54",90
"55",91
"56",92
"57",93
"58",94
"59",96
"60",97
"61",99
"62",100
"63",103
"64",105
"65",106
"66",109
"67",110
"68",113
"69",114
"70",115
"71",117
"72",118
"73",119
"74",121
"75",124
"76",125
"77",128
"78",129
"79",132
"80",136
"81",137
"82",139
"83",141
"84",145
"85",146
"86",147
"87",148
"88",149
"89",151
"90",152
"91",153
"92",154
"93",155
"94",156
"95",157
"96",158
"97",164
"98",166
"99",170
"100",173
"101",174
"102",176
"103",177
"104",178
"105",179
"106",180
"107",181
"108",182
"109",183
"110",185
"111",186
"112",188
"113",189
"114",191
"115",194
"116",196
"117",199
"118",200
"119",202
"120",204
"121",206
"122",207
"123",208
"124",210
"125",211
"126",213
"127",215
"128",216
"129",217
"130",219
"131",224
"132",225
"133",229
"134",230
"135",231
"136",233
"137",234
"138",235
"139",236
"140",237
"141",240
"142",241
"143",243
"144",244
"145",245
"146",246
"147",250
"148",253
"149",254
"150",255
"151",256
"152",257
"153",258
"154",260
"155",261
"156",262
"157",264
"158",268
"159",269
"160",270
"161",272
"162",275
"163",279
"164",282
"165",283
"166",285
"167",287
"168",288
"169",290
"170",291
"171",295
"172",296
"173",297
"174",299
"175",301
"176",303
"177",304
"178",305
"179",306
"180",308
"181",309
"182",310
"183",311
"184",312
"185",313
"186",315
"187",317
"188",318
"189",319
"190",322
"191",323
"192",324
"193",325
"194",326
"195",327
"196",328
"197",329
"198",333
"199",335
"200",336
"201",337
"202",339
"203",340
"204",342
"205",346
"206",347
"207",348
"208",349
"209",351
"210",353
"211",354
"212",355
"213",356
"214",358
"215",360
"216",361
"217",362
"218",363
"219",364
"220",365
"221",367
"222",369
"223",371
"224",376
"225",377
"226",380
"227",382
"228",383
"229",386
