"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"1","We love you Mr. Brown.","we love you mr",5,"brown","brown","5","brown","4","brown","3","brown","41A",0.610000000000582,TRUE
"2","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","with graduation season right around the corner nancy has whipped up a fun set to help you out with not only your graduation cards and gifts but any occasion that brings on a change in ones life i stamped the images in memento tuxedo black and cut them out with circle nestabilities i embossed the kraft and red cardstock with tes new stars impressions plate which is double sided and gives you fantastic patterns you can see how to use the impressions",83,"plates","the","52J","simple","42E","the","42F","by","41C",0.809999999997672,FALSE
"3","If you have an alternative argument, let's hear it! :)","if you have an",5,"alternative","elvis","41B","to","41C","or","41C","cups","41C",0.440000000002328,FALSE
"4","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.","other friends have similar stories of how they were treated brusquely by laurelwood staff and as often as not",20,"the","the","5","the","4","not","51D","the","41A",0.94999999999709,TRUE
"5","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.","although our beloved cantab can’t claim the international recognition afforded the station inn otherwise these two",17,"joints","two","31B","yoga","3","these","32C","books","3",0.440000000002328,FALSE
"6","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.","peter schiff hard to tell it will look pretty bad for most americans when prices will go way up and they can’t afford to buy stuff it",28,"could","could","4","it","41C","also","3","could","31A",1.11000000000058,TRUE
"7","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","winter is the time when all sleeps on some level it is a time of turning within to make contact with your own innermost being winter is the best time to do this and as a result get answers for yourself about whatever concerns you it is also a tremendously creative time a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen so that an image of balance can be presented those of you",91,"that","who","4","who","31A","do","4","of","32C",0.519999999996799,FALSE
"8","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","pure large leaf assam",5,"no","no","4","no","3","waffling","2","no","31A",0.389999999999418,TRUE
"9","State contracts worth over 100 MILLION ringgit!","state contracts worth over million",6,"ringgit","million","31B","barrels","3","ringgit","3","over","32C",0.400000000001455,TRUE
"10","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","we attend our friend",5,"kendras","friend","41C","friend","31B","amy","3","kendras","3",0.360000000000582,TRUE
