"","trainSampNos"
"1",1
"2",2
"3",3
"4",6
"5",10
"6",12
"7",14
"8",15
"9",19
"10",20
"11",21
"12",22
"13",24
"14",25
"15",27
"16",28
"17",29
"18",30
"19",33
"20",34
"21",36
"22",37
"23",38
"24",39
"25",40
"26",42
"27",45
"28",47
"29",48
"30",52
"31",55
"32",56
"33",57
"34",58
"35",60
"36",61
"37",64
"38",66
"39",67
"40",69
"41",70
"42",71
"43",72
"44",73
"45",74
"46",75
"47",76
"48",77
"49",78
"50",79
"51",80
"52",81
"53",84
"54",85
"55",88
"56",89
"57",91
"58",93
"59",94
"60",95
"61",97
"62",98
"63",99
"64",100
"65",101
"66",103
"67",104
"68",105
"69",107
"70",109
"71",110
"72",111
"73",112
"74",113
"75",114
"76",118
"77",120
"78",121
"79",122
"80",123
"81",124
"82",125
"83",127
"84",128
"85",129
"86",130
"87",134
"88",136
"89",137
"90",138
"91",139
"92",140
"93",141
"94",144
"95",145
"96",146
"97",150
"98",154
"99",158
"100",159
"101",160
"102",161
"103",162
"104",163
"105",164
"106",165
"107",167
"108",168
"109",169
"110",171
"111",172
"112",173
"113",182
"114",183
"115",184
"116",186
"117",187
"118",188
"119",189
"120",191
"121",193
"122",195
"123",196
"124",197
"125",198
"126",201
"127",205
"128",207
"129",208
"130",209
"131",210
"132",211
"133",215
"134",218
"135",220
"136",221
"137",222
"138",224
"139",229
"140",232
"141",235
"142",237
"143",238
"144",241
"145",242
"146",244
"147",246
"148",247
"149",248
"150",249
"151",250
"152",251
"153",252
"154",254
"155",255
"156",257
"157",259
"158",262
"159",263
"160",264
"161",265
"162",266
"163",267
"164",268
"165",269
"166",270
"167",272
"168",273
"169",274
"170",275
"171",277
"172",280
"173",284
"174",285
"175",286
"176",287
"177",289
"178",290
"179",291
"180",292
"181",293
"182",294
"183",295
"184",299
"185",301
"186",302
"187",305
"188",306
"189",308
"190",310
"191",313
"192",316
"193",317
"194",319
"195",321
"196",324
"197",326
"198",327
"199",328
"200",329
"201",330
"202",332
"203",334
"204",337
"205",340
"206",342
"207",344
"208",345
"209",352
"210",355
"211",356
"212",357
"213",359
"214",360
"215",361
"216",362
"217",363
"218",364
"219",365
"220",367
"221",369
"222",371
"223",374
"224",375
"225",376
"226",377
"227",378
"228",381
"229",383
"230",384
"231",385
"232",389
"233",391
"234",392
"235",393
"236",394
"237",395
"238",396
"239",398
"240",399
"241",400
"242",402
"243",405
"244",407
"245",408
"246",410
"247",412
"248",414
"249",415
"250",416
"251",420
"252",421
"253",422
"254",423
"255",424
"256",425
"257",426
"258",427
"259",428
"260",429
"261",432
"262",434
"263",435
"264",442
"265",443
"266",445
"267",447
"268",449
"269",450
"270",452
"271",453
"272",455
"273",458
"274",459
"275",463
"276",465
"277",466
"278",469
"279",471
"280",475
"281",479
"282",481
"283",483
"284",484
"285",486
"286",487
"287",489
"288",492
"289",494
"290",495
"291",497
"292",499
"293",500
"294",501
"295",502
"296",503
"297",505
"298",506
"299",507
"300",508
"301",509
"302",510
"303",514
"304",515
"305",517
"306",518
"307",519
"308",520
"309",521
"310",524
"311",525
"312",526
"313",529
"314",530
"315",531
"316",533
"317",535
"318",536
"319",537
"320",538
"321",539
"322",541
"323",542
"324",543
"325",546
"326",548
"327",549
"328",550
"329",552
"330",557
"331",558
"332",561
"333",563
"334",564
"335",565
"336",568
"337",569
"338",570
"339",572
"340",573
"341",574
"342",575
"343",576
"344",577
"345",578
"346",579
"347",580
"348",583
"349",586
"350",588
"351",589
"352",590
"353",591
"354",592
"355",593
"356",595
"357",599
"358",602
"359",603
"360",604
"361",605
"362",607
"363",608
"364",609
"365",610
"366",611
"367",613
"368",614
"369",615
"370",619
"371",621
"372",622
"373",623
"374",625
"375",627
"376",628
"377",631
"378",632
"379",633
"380",634
"381",635
"382",641
"383",643
"384",644
"385",645
"386",646
"387",649
"388",650
"389",653
"390",654
"391",655
"392",657
"393",658
"394",659
"395",660
"396",661
"397",663
"398",664
"399",667
"400",668
"401",670
"402",671
"403",672
"404",675
"405",676
"406",677
"407",678
"408",682
"409",683
"410",684
"411",687
"412",689
"413",691
"414",693
"415",694
"416",698
"417",699
"418",700
"419",701
"420",702
"421",705
"422",706
"423",707
"424",708
"425",709
"426",711
"427",713
"428",718
"429",719
"430",720
"431",721
"432",722
"433",724
"434",725
"435",726
"436",729
"437",730
"438",731
"439",732
"440",733
"441",735
"442",737
"443",738
"444",740
"445",741
"446",744
"447",745
"448",746
"449",747
"450",748
"451",749
