"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","tutorial","taylor","created","just","one","c(2132, 2136, 2139)","c(1, 1, 1)","c(860, 860, 860)","c(170, 1128, 1684)","c(2040, 2044, 2047)","c(729, 906, 1511)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.366100469822922, 0.430068666425746, 0.648717022045567)",0.0300000000000011,FALSE
"2","If you have an alternative argument, let's hear it! :)","alternative","argument","let's","hear","it","1629","1","715","1693","1564","1950","0.000361402240693892","0.807372605710198",0.0200000000000031,FALSE
"3","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","whatever","concerns","you","it","is","c(2045, 2072, 2032)","c(1, 1, 1)","c(833, 833, 833)","c(728, 1532, 49)","c(1959, 1983, 1946)","c(229, 241, 287)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.185399349475967, 0.189736176364293, 0.206360679436212)",0.0499999999999972,FALSE
"4","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","my","stuff","back","from","","c(1387, 1399, 1394)","c(1, 1, 1)","c(624, 624, 624)","c(2, 1700, 1152)","c(1341, 1352, 1348)","c(1108, 2144, 2317)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.503071919045917, 0.877484640404818, 0.940007228044866)",0.0300000000000011,FALSE
"5","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","it","strong","and","dark","with","c(1005, 334, 296)","c(1, 1, 1)","c(404, 71, 71)","c(1518, 1242, 756)","c(970, 320, 284)","c(568, 174, 188)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.307914709071201, 0.165522226237803, 0.170581857607517)",0.0300000000000011,FALSE
"6","State contracts worth over 100 MILLION ringgit!",NA,"state","contracts","worth","over","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"7","Fallout by Ellen Hopkins (p.1-140)",NA,NA,"fallout","by","ellen","c(751, 750, 754)","c(1, 1, 1)","c(233, 233, 233)","c(934, 915, 1129)","c(723, 722, 726)","c(279, 333, 389)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.203469461510661, 0.222985182508131, 0.243223707986989)",0,FALSE
"8","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","be","detonated","in","a","populated","c(4905, 4948, 4922)","c(1, 1, 1)","c(4352, 4352, 4352)","c(152, 687, 336)","c(4890, 4929, 4905)","c(322, 347, 396)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.219009757860499, 0.228044813877846, 0.245753523671847)",0.0799999999999983,FALSE
"9","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","benefits","enhances","facial","contours","an","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"10","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","we","travel","through","this","life","c(4002, 4008, 3992)","c(1, 1, 1)","c(1671, 1671, 1671)","c(1108, 1456, 72)","c(3847, 3852, 3837)","c(676, 871, 1016)","c(0.000361402240693892, 0.000361402240693892, 0.000361402240693892)","c(0.346946151066144, 0.417419588001458, 0.469822912902077)",0.0200000000000031,FALSE
