"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.","thereafter","most","of","the","oil","c(12256, 12144, 12204)","c(1, 1, 1)","c(9863, 9863, 9863)","c(1155, 331, 800)","c(12142, 12036, 12094)","c(176, 196, 241)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.156565656565657, 0.163780663780664, 0.180014430014431)",0.199999999999996,FALSE
"2","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","characters","she","loves","it","almost","c(1868, 1867, 1848)","c(1, 1, 1)","c(776, 776, 776)","c(1506, 1485, 741)","c(1809, 1808, 1791)","c(481, 681, 832)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.266594516594518, 0.338744588744586, 0.393217893217887)",0.0200000000000031,FALSE
"3","If I were a bear,",NA,NA,"if","i","were","c(1646, 1620, 1641)","c(1, 1, 1)","c(722, 722, 722)","c(1472, 488, 1298)","c(1597, 1575, 1592)","c(226, 239, 453)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.174603174603175, 0.17929292929293, 0.256493506493508)",0.0300000000000011,FALSE
"4","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.","were","treated","brusquely","by","laurelwood","c(728, 712, 717)","c(1, 1, 1)","c(223, 223, 223)","c(1775, 267, 948)","c(705, 691, 696)","c(402, 587, 594)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.23809523809524, 0.304834054834054, 0.307359307359306)",0.029999999999994,FALSE
"5","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.","than","distance","they","share","a","c(3012, 3594, 3590)","c(1, 1, 1)","c(1370, 1567, 1567)","c(1446, 1128, 54)","c(2922, 3486, 3482)","c(166, 1109, 1113)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.152958152958153, 0.493145743145731, 0.494588744588732)",0.0300000000000011,FALSE
"6","Peter Schiff: Hard to tell. It will look pretty bad for most Americans when prices will go way up and they can’t afford to buy stuff. It could also get very bad as far as loss of individual liberty. A lot of people will blame it on capitalism, on freedom, and they will claim we need more government. It could be used as an impetus for more regulation, which would be a disaster, or it could be an impetus to get rid of all the regulation that was causing the problem. But whether we will do the right or the wrong thing here in America, there will be a lot of pain first. We got some serious problems we have to deal with, but we are not dealing with the problems, we only make the problems worse.","with","the","problems","we","only","c(4014, 4010, 4018)","c(1, 1, 1)","c(1705, 1705, 1705)","c(914, 640, 1523)","c(3885, 3881, 3889)","c(158, 189, 362)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.15007215007215, 0.161255411255412, 0.223665223665225)",0.0200000000000031,FALSE
"7","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","indoor","football","pitch","dome","should","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"8","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”","are","unknowing","transformers","of","things","c(2492, 2432, 2450)","c(1, 1, 1)","c(1059, 1059, 1059)","c(1658, 49, 605)","c(2415, 2359, 2377)","c(300, 332, 341)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.201298701298703, 0.212842712842714, 0.216089466089468)",0.0500000000000043,FALSE
"9","Fallout by Ellen Hopkins (p.1-140)",NA,NA,NA,"fallout","by","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"10","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)",NA,NA,"either","obamacongress","etc","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"11","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","staring","at","it","for","a","c(1275, 1241, 1248)","c(1, 1, 1)","c(579, 579, 579)","c(1827, 102, 658)","c(1243, 1210, 1217)","c(317, 330, 490)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.207431457431459, 0.212121212121214, 0.269841269841271)",0.0700000000000003,FALSE
"12","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","breaking","into","our","home","my","c(1571, 1570, 1573)","c(1, 1, 1)","c(706, 706, 706)","c(397, 2, 1021)","c(1527, 1526, 1529)","c(168, 1754, 1893)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.153679653679654, 0.7258297258297, 0.775974025973997)",0.0300000000000011,FALSE
"13","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","a","show","that","your","kid","c(4314, 4310, 4313)","c(1, 1, 1)","c(1795, 1795, 1795)","c(665, 417, 542)","c(4177, 4173, 4176)","c(211, 275, 1188)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.16919191919192, 0.192279942279943, 0.521645021645008)",0.0499999999999972,FALSE
"14","I am 32 weeks pregnant!",NA,"i","am","","weeks","c(4701, 4700, 4702)","c(1, 1, 1)","c(4101, 4101, 4101)","c(646, 493, 678)","c(4685, 4684, 4686)","c(164, 421, 752)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.152236652236653, 0.244949494949497, 0.36435786435786)",0.00999999999999801,FALSE
"15","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.","blog","type","like","the","color","c(7965, 7853, 7913)","c(1, 1, 1)","c(5599, 5599, 5599)","c(1204, 347, 830)","c(7852, 7746, 7804)","c(176, 196, 241)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.156565656565657, 0.163780663780664, 0.180014430014431)",0.0800000000000054,FALSE
"16","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.","my","toes","and","lifted","it","c(299, 274, 349)","c(1, 1, 1)","c(71, 71, 71)","c(644, 380, 1267)","c(290, 265, 336)","c(214, 233, 243)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.170274170274171, 0.177128427128428, 0.180735930735932)",0.0499999999999972,FALSE
"17","Ed Switenky, manager of traffic engineering and operations, couldn't comment on any short-term improvements the city might be able to make to Governor's Road - in light of last week's accident.","shortterm","improvements","the","city","might","c(811, 3496, 3384)","c(1, 1, 1)","c(284, 1558, 1558)","c(70, 1232, 353)","c(787, 3390, 3284)","c(2091, 176, 196)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.847402597402564, 0.156565656565657, 0.163780663780664)",0.00999999999999801,FALSE
"18","And I very much doubt if it will end there. Because of all the foregoing factors, and the immediate crisis Murdoch faces, BSkyB’s movers know that he must do this deal….or wind up in very bad shape as a business. There may also come a point at which BSkyB find Murdoch himself simply too toxic to have as a buyer anyway.","bskybs","movers","know","that","he","c(7765, 7763, 7813)","c(1, 1, 1)","c(5596, 5596, 5596)","c(211, 65, 1759)","c(7663, 7661, 7707)","c(219, 353, 360)","c(0.000360750360750361, 0.000360750360750361, 0.000360750360750361)","c(0.172077922077923, 0.220418470418472, 0.222943722943725)",0.0600000000000023,FALSE
