"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","that","i","have","been","storing","c(95036, 95093, 95126)","c(1, 1, 1)","c(77797, 77797, 77797)","c(628, 7005, 9010)","c(93896, 93949, 93980)","c(2216, 2251, 2797)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.334200850993485, 0.335646713760453, 0.35820217292515)",5.36,FALSE
"2","If I were a bear,",NA,"if","i","were","a","c(127242, 127167, 127160)","c(1, 1, 1)","c(86298, 86298, 86298)","c(8384, 312, 26)","c(123596, 123522, 123516)","c(2385, 2643, 2655)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.341182302639701, 0.351840376750492, 0.352336101127738)",2.17,FALSE
"3","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","you","it","is","also","a","c(47534, 47537, 47556)","c(1, 1, 1)","c(34381, 34381, 34381)","c(2461, 3513, 5202)","c(46723, 46726, 46744)","c(2278, 2468, 2565)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.336762093609256, 0.344611062915653, 0.348618168298392)",2.19,FALSE
"4","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","it","strong","and","dark","with","c(8425, 8426, 8424)","c(1, 1, 1)","c(2125, 2125, 2125)","c(7881, 9577, 1561)","c(7803, 7804, 7802)","c(2609, 9135, 10076)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.350435824348295, 0.620027264840631, 0.658900318089679)",0.25,FALSE
"5","State contracts worth over 100 MILLION ringgit!",NA,NA,"state","contracts","worth","c(29383, 29380, 29389)","c(1, 1, 1)","c(8085, 8085, 8085)","c(4533, 4040, 7064)","c(27232, 27229, 27238)","c(8084, 13692, 15112)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.576610071466827, 0.808278597099837, 0.866939315073959)",0.120000000000005,FALSE
"6","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","to","watch","people","see","an","c(27643, 27668, 27632)","c(1, 1, 1)","c(7474, 7474, 7474)","c(4163, 9238, 677)","c(25590, 25609, 25579)","c(2355, 4074, 4360)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.339942991696586, 0.410955508737089, 0.422770273061454)",0.280000000000001,FALSE
"7","Fallout by Ellen Hopkins (p.1-140)","fallout","by","ellen","hopkins","p","14954","1","4050","970","13893","8587","5.44751321021953e-05","0.647981696355755",0.189999999999998,FALSE
"8","for I did not come to condemn the world but to save the world.","i","did","not","come","to","c(53169, 53183, 53182)","c(1, 1, 1)","c(35779, 35779, 35779)","c(17, 5846, 5493)","c(51953, 51967, 51966)","c(3181, 4317, 7055)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.374065352997025, 0.420993927376323, 0.534101706117974)",2.72999999999999,FALSE
"9","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","a","show","about","a","book","c(46016, 45842, 46064)","c(1, 1, 1)","c(34108, 34108, 34108)","c(3417, 1420, 3736)","c(45351, 45201, 45390)","c(2303, 2320, 2396)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.337794852728519, 0.338497128929618, 0.341636716652176)",1.60000000000001,FALSE
"10","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","what","would","law","enforcement","do","c(64212, 55869, 64207)","c(1, 1, 1)","c(38880, 36875, 38880)","c(5705, 4166, 2757)","c(62093, 54517, 62088)","c(16028, 4625, 4624)","c(4.13103647705209e-05, 5.44751321021953e-05, 5.44751321021953e-05)","c(0.904779609203744, 0.432151222966773, 0.432096747834671)",0.840000000000003,FALSE
"11","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","","st","for","discussion","on","c(9167, 11786, 11693)","c(1, 1, 1)","c(2421, 3319, 3319)","c(346, 5760, 3450)","c(8509, 10967, 10891)","c(8727, 2775, 2799)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.603172636014264, 0.357293344900199, 0.358284793654691)",0.309999999999988,FALSE
"12","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.","and","i'm","not","sure","it","c(120090, 120077, 120079)","c(1, 1, 1)","c(85277, 85277, 85277)","c(8890, 2420, 3745)","c(117236, 117225, 117227)","c(3623, 5373, 5928)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.39232453422559, 0.464617672573979, 0.487544925021611)",3.85000000000001,FALSE
"13","Ed Switenky, manager of traffic engineering and operations, couldn't comment on any short-term improvements the city might be able to make to Governor's Road - in light of last week's accident.",NA,NA,NA,"ed","switenky","c(9934, 9933)","c(1, 1)","c(2672, 2672)","c(5681, 824)","c(9213, 9212)","c(2711, 3787)","c(5.44751321021953e-05, 5.44751321021953e-05)","c(0.327885820123131, 0.386501062265116)",0.0499999999999972,FALSE
"14","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","receive","our","supplications","and","prayers","c(2755, 2533, 3001)","c(1, 1, 1)","c(348, 348, 348)","c(6465, 4089, 9203)","c(2484, 2296, 2709)","c(2208, 2218, 2244)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.333870368075321, 0.334283471723026, 0.335357541207059)",0.459999999999994,FALSE
"15","1/3 cup tomato paste",NA,NA,"","cup","tomato","c(8283, 8288, 8286)","c(1, 1, 1)","c(2064, 2064, 2064)","c(3270, 9507, 5918)","c(7664, 7667, 7665)","c(9737, 17291, 7839)","c(4.13103647705209e-05, 4.13103647705209e-05, 5.44751321021953e-05)","c(0.644896104432477, 0.956954599908896, 0.607234297543297)",0.100000000000009,FALSE
"16","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","are","people","who","are","softspoken","c(49268, 49154, 49127)","c(1, 1, 1)","c(34561, 34561, 34561)","c(8835, 2470, 443)","c(48305, 48206, 48181)","c(2615, 3941, 4230)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.350683686536918, 0.405461230222612, 0.417399925641288)",1.75,FALSE
"17","could be added to the gallery wall.",NA,NA,"could","be","added","c(50345, 50297, 50331)","c(1, 1, 1)","c(34877, 34877, 34877)","c(4128, 2301, 3609)","c(49288, 49248, 49278)","c(2444, 2743, 2787)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.343619614161161, 0.355971413227543, 0.357789069277445)",0.980000000000004,FALSE
"18","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","mila","kunis","the","help","actress","c(60013, 60003, 59995)","c(1, 1, 1)","c(38015, 38015, 38015)","c(9394, 5815, 1565)","c(58366, 58358, 58350)","c(2306, 3357, 4468)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.337918783822831, 0.381335977196635, 0.427231792456669)",1.09999999999999,FALSE
"19","Ah, Parga. How many times have we sat in Paxos, looking across at the mainland at night seeing twinkling lights in the far distance? How many times have we wondered just what was it like over there? Well now we know. Unfortunately the place with the twinkling lights was not Parga but some other little community. We got it wrong. Parga was on the itinerary anyway. We concluded it was not worth the detour; two resort-y bays separated by an ancient Turkish fort on a steep hill and a cluster of souvenir shops, tavernas and restaurants. The marina was unwelcoming - we moored alongside a rusting, capsized ferry - and the trudge to buy some provisions took us along a neglected rubbish strewn track. Thomas would not leave the boat for fear we were robbed. But hey! Pull up the gangplank, crack open a beer and experiment with cooking in the galley.","experiment","with","cooking","in","the","c(16155, 16124, 15925)","c(1, 1, 1)","c(4237, 4237, 4237)","c(5967, 5379, 314)","c(14911, 14884, 14710)","c(2322, 2328, 2503)","c(4.13103647705209e-05, 4.13103647705209e-05, 4.13103647705209e-05)","c(0.338579749659159, 0.338827611847782, 0.346056925682621)",0.620000000000005,FALSE
