"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","some","home","decor","inspiration","that","c(31097, 31095, 31092)","c(1, 1, 1)","c(6791, 6791, 6791)","c(14784, 13689, 1876)","c(28297, 28296, 28293)","c(7414, 15218, 21285)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.450196816703812, 0.617148724970166, 0.746940783844074)",0.620000000000118,FALSE
"2","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","black","and","cut","them","out","c(62048, 62023, 62026)","c(1, 1, 1)","c(13334, 13334, 13334)","c(6107, 781, 992)","c(56472, 56451, 56453)","c(5000, 7619, 7677)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.398553825089898, 0.454582406298199, 0.455823207256612)",2.76999999999998,FALSE
"3","If I were a bear,",NA,NA,NA,"if","i","c(29609, 29676, 29677)","c(1, 1, 1)","c(6537, 6537, 6537)","c(397, 13045, 13139)","c(26998, 27048, 27049)","c(4818, 10104, 11802)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.394660277254881, 0.507744309430169, 0.544069827143684)",0.160000000000082,FALSE
"4","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.","names","keep","coming","up","about","c(157325, 157338, 157301)","c(1, 1, 1)","c(77005, 77005, 77005)","c(10518, 12861, 7809)","c(149235, 149246, 149214)","c(5418, 5427, 7243)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.407496149238455, 0.407688687318208, 0.446538593188493)",3.78999999999996,FALSE
"5","Although our beloved Cantab can’t claim the international recognition afforded the Station Inn, otherwise these two joints feel like twins separated by nothing more than distance. They share a complete lack of pretense that can’t be imitated or approximated. Their very ordinariness makes them special.","international","recognition","afforded","the","station","c(61786, 60458, 61780)","c(1, 1, 1)","c(13323, 13323, 13323)","c(15053, 9275, 15024)","c(56231, 55142, 56226)","c(4467, 4470, 4494)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.38715129214449, 0.387215471504408, 0.387728906383751)",0.769999999999982,FALSE
"6","3. Winter is the time when all sleeps on some level. It is a time of turning within to make contact with your own innermost being. Winter is the best time to do this and, as a result, get answers for yourself about whatever concerns you. It is also a tremendously creative time, a time for artists of all kinds to turn within and to seek images of forms he or she wishes to produce in whatever medium chosen, so that an image of balance can be presented. Those of you that write, we suggest that you do so to come up with plots and ideas that will speak of balance coming to an imbalanced situation, person, or world. To those of you who, like Priscilla, work with making patterns and designs, we would say remember the images and designs brought about by winter. White will challenge you to see what changes will manifest in the images you produce. We ask that you do this in your own environment.","by","winter","white","will","challenge","c(70818, 70747, 70758)","c(1, 1, 1)","c(14618, 14618, 14618)","c(7937, 1437, 2441)","c(64107, 64047, 64056)","c(4557, 4576, 4581)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.389076672942026, 0.389483142221506, 0.389590107821369)",0.690000000000055,FALSE
"7","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","herby","frills","and","for","goodness","c(112695, 112556, 112762)","c(1, 1, 1)","c(68110, 68110, 68110)","c(8679, 5148, 10503)","c(108983, 108868, 109043)","c(4812, 4831, 4848)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.394531918535045, 0.394938387814525, 0.395302070854059)",4.08999999999992,FALSE
"8","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”","you","are","unknowing","transformers","of","NA","NA","NA","NA","NA","NA","NA",NA,0.339999999999918,FALSE
"9","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!","the","nature","of","the","course","c(152064, 150736, 152058)","c(1, 1, 1)","c(76276, 76276, 76276)","c(14587, 8969, 14560)","c(144672, 143583, 144667)","c(4467, 4470, 4494)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.38715129214449, 0.387215471504408, 0.387728906383751)",7.19000000000005,FALSE
"10","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","joy","to","watch","people","see","c(46142, 46175, 46153)","c(1, 1, 1)","c(9757, 9757, 9757)","c(5076, 9789, 6573)","c(41952, 41980, 41962)","c(5022, 8999, 9133)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.399024473729296, 0.48410491186042, 0.486971589936752)",3.17000000000007,FALSE
"11","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","like","he","was","more","scared","c(38821, 38889, 38846)","c(1, 1, 1)","c(8590, 8590, 8590)","c(5770, 11017, 7803)","c(35287, 35345, 35307)","c(4583, 4586, 4774)","c(2.13931199726168e-05, 2.13931199726168e-05, 2.13931199726168e-05)","c(0.389632894061314, 0.389697073421232, 0.393718979976085)",1.51999999999998,FALSE
