"","count","basis","prediction","word","rowCount","freq","cumFreq"
"too+nice+to",3,"too+nice","to","too+nice+to",1,0.00111317254174397,0.00111317254174397
"almost+as+much",2,"almost+as","much","almost+as+much",2,0.000742115027829314,0.00185528756957328
"a+lot+of",2,"a+lot","of","a+lot+of",3,0.000742115027829314,0.0025974025974026
"it+could+be",2,"it+could","be","it+could+be",4,0.000742115027829314,0.00333951762523191
"of+all+the",2,"of+all","the","of+all+the",5,0.000742115027829314,0.00408163265306122
"the+course+and",2,"the+course","and","the+course+and",6,0.000742115027829314,0.00482374768089054
"the+story+of",2,"the+story","of","the+story+of",7,0.000742115027829314,0.00556586270871985
"know+that+the",2,"know+that","the","know+that+the",8,0.000742115027829314,0.00630797773654916
"find+that+i",2,"find+that","i","find+that+i",9,0.000742115027829314,0.00705009276437848
"you+can+be",2,"you+can","be","you+can+be",10,0.000742115027829314,0.00779220779220779
"a+very+nice",2,"a+very","nice","a+very+nice",11,0.000742115027829314,0.0085343228200371
"i+decided+to",2,"i+decided","to","i+decided+to",12,0.000742115027829314,0.00927643784786642
"one+of+the",2,"one+of","the","one+of+the",13,0.000742115027829314,0.0100185528756957
"the+kick+the",2,"the+kick","the","the+kick+the",14,0.000742115027829314,0.010760667903525
"in+the+years",1,"in+the","years","in+the+years",15,0.000371057513914657,0.0111317254174397
"the+years+thereafter",1,"the+years","thereafter","the+years+thereafter",16,0.000371057513914657,0.0115027829313544
"years+thereafter+most",1,"years+thereafter","most","years+thereafter+most",17,0.000371057513914657,0.011873840445269
"thereafter+most+of",1,"thereafter+most","of","thereafter+most+of",18,0.000371057513914657,0.0122448979591837
"most+of+the",1,"most+of","the","most+of+the",19,0.000371057513914657,0.0126159554730983
"of+the+oil",1,"of+the","oil","of+the+oil",20,0.000371057513914657,0.012987012987013
"the+oil+fields",1,"the+oil","fields","the+oil+fields",21,0.000371057513914657,0.0133580705009276
"oil+fields+and",1,"oil+fields","and","oil+fields+and",22,0.000371057513914657,0.0137291280148423
"fields+and+platforms",1,"fields+and","platforms","fields+and+platforms",23,0.000371057513914657,0.014100185528757
"and+platforms+were",1,"and+platforms","were","and+platforms+were",24,0.000371057513914657,0.0144712430426716
"platforms+were+named",1,"platforms+were","named","platforms+were+named",25,0.000371057513914657,0.0148423005565863
"were+named+after",1,"were+named","after","were+named+after",26,0.000371057513914657,0.0152133580705009
"named+after+pagan",1,"named+after","pagan","named+after+pagan",27,0.000371057513914657,0.0155844155844156
"after+pagan+gods",1,"after+pagan","gods","after+pagan+gods",28,0.000371057513914657,0.0159554730983302
"we+love+you",1,"we+love","you","we+love+you",29,0.000371057513914657,0.0163265306122449
"love+you+mr",1,"love+you","mr","love+you+mr",30,0.000371057513914657,0.0166975881261596
"you+mr+brown",1,"you+mr","brown","you+mr+brown",31,0.000371057513914657,0.0170686456400742
"chad+has+been",1,"chad+has","been","chad+has+been",32,0.000371057513914657,0.0174397031539889
"has+been+awesome",1,"has+been","awesome","has+been+awesome",33,0.000371057513914657,0.0178107606679035
"been+awesome+with",1,"been+awesome","with","been+awesome+with",34,0.000371057513914657,0.0181818181818182
"awesome+with+the",1,"awesome+with","the","awesome+with+the",35,0.000371057513914657,0.0185528756957328
"with+the+kids",1,"with+the","kids","with+the+kids",36,0.000371057513914657,0.0189239332096475
"the+kids+and",1,"the+kids","and","the+kids+and",37,0.000371057513914657,0.0192949907235622
"kids+and+holding",1,"kids+and","holding","kids+and+holding",38,0.000371057513914657,0.0196660482374768
"and+holding+down",1,"and+holding","down","and+holding+down",39,0.000371057513914657,0.0200371057513915
"holding+down+the",1,"holding+down","the","holding+down+the",40,0.000371057513914657,0.0204081632653061
"down+the+fort",1,"down+the","fort","down+the+fort",41,0.000371057513914657,0.0207792207792208
"the+fort+while",1,"the+fort","while","the+fort+while",42,0.000371057513914657,0.0211502782931355
"fort+while+i",1,"fort+while","i","fort+while+i",43,0.000371057513914657,0.0215213358070501
"while+i+work",1,"while+i","work","while+i+work",44,0.000371057513914657,0.0218923933209648
"i+work+later",1,"i+work","later","i+work+later",45,0.000371057513914657,0.0222634508348794
"work+later+than",1,"work+later","than","work+later+than",46,0.000371057513914657,0.0226345083487941
"later+than+usual",1,"later+than","usual","later+than+usual",47,0.000371057513914657,0.0230055658627087
"than+usual+the",1,"than+usual","the","than+usual+the",48,0.000371057513914657,0.0233766233766234
"usual+the+kids",1,"usual+the","kids","usual+the+kids",49,0.000371057513914657,0.0237476808905381
"the+kids+have",1,"the+kids","have","the+kids+have",50,0.000371057513914657,0.0241187384044527
"kids+have+been",1,"kids+have","been","kids+have+been",51,0.000371057513914657,0.0244897959183674
"have+been+busy",1,"have+been","busy","have+been+busy",52,0.000371057513914657,0.024860853432282
"been+busy+together",1,"been+busy","together","been+busy+together",53,0.000371057513914657,0.0252319109461967
"busy+together+playing",1,"busy+together","playing","busy+together+playing",54,0.000371057513914657,0.0256029684601114
"together+playing+skylander",1,"together+playing","skylander","together+playing+skylander",55,0.000371057513914657,0.025974025974026
"playing+skylander+on",1,"playing+skylander","on","playing+skylander+on",56,0.000371057513914657,0.0263450834879407
"skylander+on+the",1,"skylander+on","the","skylander+on+the",57,0.000371057513914657,0.0267161410018553
"on+the+xbox",1,"on+the","xbox","on+the+xbox",58,0.000371057513914657,0.02708719851577
"the+xbox+together",1,"the+xbox","together","the+xbox+together",59,0.000371057513914657,0.0274582560296846
"xbox+together+after",1,"xbox+together","after","xbox+together+after",60,0.000371057513914657,0.0278293135435993
"together+after+kyan",1,"together+after","kyan","together+after+kyan",61,0.000371057513914657,0.028200371057514
"after+kyan+cashed",1,"after+kyan","cashed","after+kyan+cashed",62,0.000371057513914657,0.0285714285714286
"kyan+cashed+in",1,"kyan+cashed","in","kyan+cashed+in",63,0.000371057513914657,0.0289424860853433
"cashed+in+his",1,"cashed+in","his","cashed+in+his",64,0.000371057513914657,0.0293135435992579
"from+his+piggy",1,"from+his","piggy","from+his+piggy",65,0.000371057513914657,0.0296846011131726
"his+piggy+bank",1,"his+piggy","bank","his+piggy+bank",66,0.000371057513914657,0.0300556586270873
"piggy+bank+he",1,"piggy+bank","he","piggy+bank+he",67,0.000371057513914657,0.0304267161410019
"bank+he+wanted",1,"bank+he","wanted","bank+he+wanted",68,0.000371057513914657,0.0307977736549166
"he+wanted+that",1,"he+wanted","that","he+wanted+that",69,0.000371057513914657,0.0311688311688312
"wanted+that+game",1,"wanted+that","game","wanted+that+game",70,0.000371057513914657,0.0315398886827459
