"","count","basis","prediction","word","rowCount","freq","cumFreq"
"in+the",20,"in","the","in+the",1,0.00721500721500722,0.00721500721500722
"of+the",11,"of","the","of+the",2,0.00396825396825397,0.0111832611832612
"to+the",9,"to","the","to+the",3,0.00324675324675325,0.0144300144300144
"i+have",7,"i","have","i+have",4,0.00252525252525253,0.016955266955267
"i+am",5,"i","am","i+am",5,0.0018037518037518,0.0187590187590188
"on+the",5,"on","the","on+the",6,0.0018037518037518,0.0205627705627706
"in+a",5,"in","a","in+a",7,0.0018037518037518,0.0223665223665224
"a+few",5,"a","few","a+few",8,0.0018037518037518,0.0241702741702742
"that+the",5,"that","the","that+the",9,0.0018037518037518,0.025974025974026
"and+the",5,"and","the","and+the",10,0.0018037518037518,0.0277777777777778
"and+i",5,"and","i","and+i",11,0.0018037518037518,0.0295815295815296
"on+a",4,"on","a","on+a",12,0.00144300144300144,0.031024531024531
"if+you",4,"if","you","if+you",13,0.00144300144300144,0.0324675324675325
"is+a",4,"is","a","is+a",14,0.00144300144300144,0.0339105339105339
"can+be",4,"can","be","can+be",15,0.00144300144300144,0.0353535353535354
"you+do",4,"you","do","you+do",16,0.00144300144300144,0.0367965367965368
"with+the",4,"with","the","with+the",17,0.00144300144300144,0.0382395382395382
"going+to",3,"going","to","going+to",18,0.00108225108225108,0.0393217893217893
"that+i",3,"that","i","that+i",19,0.00108225108225108,0.0404040404040404
"have+been",3,"have","been","have+been",20,0.00108225108225108,0.0414862914862915
"out+with",3,"out","with","out+with",21,0.00108225108225108,0.0425685425685426
"the+images",3,"the","images","the+images",22,0.00108225108225108,0.0436507936507936
"you+can",3,"you","can","you+can",23,0.00108225108225108,0.0447330447330447
"need+to",3,"need","to","need+to",24,0.00108225108225108,0.0458152958152958
"is+the",3,"is","the","is+the",25,0.00108225108225108,0.0468975468975469
"it+is",3,"it","is","it+is",26,0.00108225108225108,0.047979797979798
"that+you",3,"that","you","that+you",27,0.00108225108225108,0.049062049062049
"and+a",3,"and","a","and+a",28,0.00108225108225108,0.0501443001443001
"of+a",3,"of","a","of+a",29,0.00108225108225108,0.0512265512265512
"a+small",3,"a","small","a+small",30,0.00108225108225108,0.0523088023088023
"this+one",3,"this","one","this+one",31,0.00108225108225108,0.0533910533910534
"a+bit",3,"a","bit","a+bit",32,0.00108225108225108,0.0544733044733044
"i+had",3,"i","had","i+had",33,0.00108225108225108,0.0555555555555555
"there+is",3,"there","is","there+is",34,0.00108225108225108,0.0566378066378066
"one+of",3,"one","of","one+of",35,0.00108225108225108,0.0577200577200577
"like+this",3,"like","this","like+this",36,0.00108225108225108,0.0588023088023088
