"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","In the years thereafter, most of the Oil fields and platforms were named after pagan “gods”.","the","years","thereafter","most","of","c(72484, 72522, 72527)","c(1, 1, 1)","c(13189, 13189, 13189)","c(5715, 10541, 11231)","c(64975, 65009, 65013)","c(11221, 11732, 13036)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.471114116938423, 0.476514038739958, 0.490293878327438)",1.28999999999996,FALSE
"2","We love you Mr. Brown.",NA,NA,NA,"we","love","c(127481, 127570, 127511)","c(1, 1, 1)","c(22043, 22043, 22043)","c(14324, 19893, 16436)","c(113898, 113966, 113923)","c(9515, 9559, 9636)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.453086197968913, 0.453551161881374, 0.454364848728181)",0.180000000000291,FALSE
"3","With graduation season right around the corner, Nancy has whipped up a fun set to help you out with not only your graduation cards and gifts, but any occasion that brings on a change in one's life. I stamped the images in Memento Tuxedo Black and cut them out with circle Nestabilities. I embossed the kraft and red cardstock with TE's new Stars Impressions Plate, which is double sided and gives you 2 fantastic patterns. You can see how to use the Impressions Plates in this tutorial Taylor created. Just one pass through your die cut machine using the Embossing Pad Kit is all you need to do - super easy!","cut","machine","using","the","embossing","c(289992, 290742, 290120)","c(1, 1, 1)","c(134573, 134573, 134573)","c(15788, 18907, 16311)","c(273790, 274403, 273896)","c(9397, 9441, 9501)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.451839249294586, 0.452304213207047, 0.452938254905857)",5.38999999999942,FALSE
"4","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?",NA,NA,"pure","large","leaf","c(63903, 63898, 63912)","c(1, 1, 1)","c(11373, 11373, 11373)","c(4962, 2481, 13166)","c(57160, 57155, 57168)","c(12884, 24221, 25604)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.488687639357118, 0.608489818347349, 0.623104479504929)",0.780000000000655,FALSE
"5","We attend our friend Kendra's wedding -- such a joy to watch people see an end to year's of waiting.","joy","to","watch","people","see","c(85483, 85540, 85459)","c(1, 1, 1)","c(14901, 14901, 14901)","c(9336, 17439, 5944)","c(76642, 76687, 76623)","c(10157, 10594, 12272)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.459870444146184, 0.464488381185854, 0.482220414029252)",7.97999999999956,FALSE
"6","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!",NA,NA,"i","was","hoping","c(303240, 303442, 303182)","c(1, 1, 1)","c(136236, 136236, 136236)","c(3176, 9759, 1249)","c(285140, 285313, 285091)","c(9503, 9640, 9680)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.452959389629151, 0.454407118174768, 0.454829812640641)",3.60999999999967,FALSE
"7","for I did not come to condemn the world but to save the world.","world","but","to","save","the","c(272982, 272992, 272993)","c(1, 1, 1)","c(131852, 131852, 131852)","c(12866, 19984, 22296)","c(258697, 258704, 258705)","c(11309, 19718, 34973)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.472044044763345, 0.560904988851626, 0.722110090774177)",9.0600000000004,FALSE
"8","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","white","man","goes","on","a","c(257611, 257739, 258149)","c(1, 1, 1)","c(128360, 128360, 128360)","c(2998, 7892, 20460)","c(244500, 244617, 244949)","c(9486, 9488, 9762)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.452779744481154, 0.452800879204448, 0.455696336295682)",7.40999999999985,FALSE
"9","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","freedom","song","was","unconstitutional","and","c(303240, 303442, 303182)","c(1, 1, 1)","c(136236, 136236, 136236)","c(3176, 9759, 1249)","c(285140, 285313, 285091)","c(9503, 9640, 9680)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.452959389629151, 0.454407118174768, 0.454829812640641)",1.85999999999967,FALSE
"10","I am 32 weeks pregnant!",NA,"i","am","","weeks","c(183502, 183517, 183569)","c(1, 1, 1)","c(114981, 114981, 114981)","c(6594, 8919, 16276)","c(177840, 177852, 177895)","c(9596, 9854, 11600)","c(1.05673616468176e-05, 1.05673616468176e-05, 1.05673616468176e-05)","c(0.453942154262307, 0.456668533567192, 0.475119147002575)",3.5,FALSE
