"","trainSampNos"
"1",3
"2",4
"3",6
"4",7
"5",8
"6",9
"7",10
"8",11
"9",12
"10",14
"11",15
"12",16
"13",17
"14",19
"15",20
"16",21
"17",22
"18",24
"19",26
"20",27
"21",29
"22",30
"23",34
"24",35
"25",36
"26",37
"27",38
"28",39
"29",40
"30",41
"31",44
"32",48
"33",49
"34",50
"35",52
"36",53
"37",54
"38",55
"39",56
"40",58
"41",61
"42",62
"43",63
"44",64
"45",65
"46",67
"47",69
"48",70
"49",71
"50",72
"51",78
"52",79
"53",80
"54",82
"55",84
"56",86
"57",90
"58",92
"59",94
"60",96
"61",97
"62",98
"63",100
"64",102
"65",104
"66",105
"67",107
"68",109
"69",112
"70",113
"71",114
"72",115
"73",118
"74",122
"75",123
"76",125
"77",127
"78",129
"79",130
"80",131
"81",132
"82",133
"83",134
"84",135
"85",136
"86",138
"87",140
"88",143
"89",145
"90",147
"91",148
"92",149
"93",150
"94",151
"95",152
"96",155
"97",160
"98",161
"99",162
"100",163
"101",164
"102",165
"103",166
"104",167
"105",169
"106",170
"107",171
"108",172
"109",173
"110",175
"111",178
"112",182
"113",184
"114",185
"115",186
"116",191
"117",192
"118",193
"119",194
"120",195
"121",196
"122",199
"123",200
"124",201
"125",204
"126",205
"127",206
"128",207
"129",209
"130",211
"131",213
"132",214
"133",216
"134",217
"135",219
"136",222
"137",223
"138",224
"139",225
"140",228
"141",229
"142",230
"143",231
"144",235
"145",236
"146",237
"147",238
"148",239
"149",241
"150",242
"151",243
"152",244
"153",246
"154",247
"155",248
"156",250
"157",255
"158",256
"159",257
"160",258
"161",259
"162",260
"163",261
"164",264
"165",267
"166",268
"167",269
"168",271
"169",272
"170",274
"171",275
"172",277
"173",278
"174",279
"175",281
"176",282
"177",283
"178",284
"179",285
"180",286
"181",288
"182",289
"183",293
"184",295
"185",296
"186",297
"187",300
"188",303
"189",304
"190",305
"191",307
"192",309
"193",310
"194",313
"195",316
"196",317
"197",319
"198",320
"199",321
"200",322
"201",325
"202",327
"203",328
"204",329
"205",331
"206",332
"207",333
"208",335
"209",336
"210",338
"211",339
"212",340
"213",341
"214",342
"215",345
"216",346
"217",347
"218",350
"219",351
"220",352
"221",355
"222",356
"223",359
"224",360
"225",362
"226",363
"227",364
"228",366
"229",367
"230",370
"231",372
"232",374
"233",375
"234",378
"235",379
"236",380
"237",382
"238",385
"239",387
"240",388
