"","count","basis","prediction","word","rowCount","freq","cumFreq"
"too+nice+to",3,"too+nice","to","too+nice+to",1,0.00111441307578009,0.00111441307578009
"winter+is+the",2,"winter+is","the","winter+is+the",2,0.000742942050520059,0.00185735512630015
"those+of+you",2,"those+of","you","those+of+you",3,0.000742942050520059,0.00260029717682021
"that+you+do",2,"that+you","do","that+you+do",4,0.000742942050520059,0.00334323922734027
"the+course+and",2,"the+course","and","the+course+and",5,0.000742942050520059,0.00408618127786033
"the+story+of",2,"the+story","of","the+story+of",6,0.000742942050520059,0.00482912332838039
"know+that+the",2,"know+that","the","know+that+the",7,0.000742942050520059,0.00557206537890045
"find+that+i",2,"find+that","i","find+that+i",8,0.000742942050520059,0.0063150074294205
"you+can+be",2,"you+can","be","you+can+be",9,0.000742942050520059,0.00705794947994056
"a+very+nice",2,"a+very","nice","a+very+nice",10,0.000742942050520059,0.00780089153046062
"i+was+worried",2,"i+was","worried","i+was+worried",11,0.000742942050520059,0.00854383358098068
"i+decided+to",2,"i+decided","to","i+decided+to",12,0.000742942050520059,0.00928677563150074
"one+of+the",2,"one+of","the","one+of+the",13,0.000742942050520059,0.0100297176820208
"but+it's+not",2,"but+it's","not","but+it's+not",14,0.000742942050520059,0.0107726597325409
"a+few+minutes",2,"a+few","minutes","a+few+minutes",15,0.000742942050520059,0.0115156017830609
"the+kick+the",2,"the+kick","the","the+kick+the",16,0.000742942050520059,0.012258543833581
"we+love+you",1,"we+love","you","we+love+you",17,0.00037147102526003,0.012630014858841
"love+you+mr",1,"love+you","mr","love+you+mr",18,0.00037147102526003,0.013001485884101
"you+mr+brown",1,"you+mr","brown","you+mr+brown",19,0.00037147102526003,0.0133729569093611
"so+anyways+i",1,"so+anyways","i","so+anyways+i",20,0.00037147102526003,0.0137444279346211
"anyways+i+am",1,"anyways+i","am","anyways+i+am",21,0.00037147102526003,0.0141158989598811
"i+am+going",1,"i+am","going","i+am+going",22,0.00037147102526003,0.0144873699851412
"am+going+to",1,"am+going","to","am+going+to",23,0.00037147102526003,0.0148588410104012
"going+to+share",1,"going+to","share","going+to+share",24,0.00037147102526003,0.0152303120356612
"to+share+some",1,"to+share","some","to+share+some",25,0.00037147102526003,0.0156017830609213
"share+some+home",1,"share+some","home","share+some+home",26,0.00037147102526003,0.0159732540861813
"some+home+decor",1,"some+home","decor","some+home+decor",27,0.00037147102526003,0.0163447251114413
"home+decor+inspiration",1,"home+decor","inspiration","home+decor+inspiration",28,0.00037147102526003,0.0167161961367013
"decor+inspiration+that",1,"decor+inspiration","that","decor+inspiration+that",29,0.00037147102526003,0.0170876671619614
"inspiration+that+i",1,"inspiration+that","i","inspiration+that+i",30,0.00037147102526003,0.0174591381872214
"that+i+have",1,"that+i","have","that+i+have",31,0.00037147102526003,0.0178306092124814
"i+have+been",1,"i+have","been","i+have+been",32,0.00037147102526003,0.0182020802377415
"have+been+storing",1,"have+been","storing","have+been+storing",33,0.00037147102526003,0.0185735512630015
"been+storing+in",1,"been+storing","in","been+storing+in",34,0.00037147102526003,0.0189450222882615
"storing+in+my",1,"storing+in","my","storing+in+my",35,0.00037147102526003,0.0193164933135215
"in+my+folder",1,"in+my","folder","in+my+folder",36,0.00037147102526003,0.0196879643387816
"my+folder+on",1,"my+folder","on","my+folder+on",37,0.00037147102526003,0.0200594353640416
"folder+on+the",1,"folder+on","the","folder+on+the",38,0.00037147102526003,0.0204309063893016
"on+the+puter",1,"on+the","puter","on+the+puter",39,0.00037147102526003,0.0208023774145617
"the+puter+i",1,"the+puter","i","the+puter+i",40,0.00037147102526003,0.0211738484398217
"puter+i+have",1,"puter+i","have","puter+i+have",41,0.00037147102526003,0.0215453194650817
"i+have+all",1,"i+have","all","i+have+all",42,0.00037147102526003,0.0219167904903417
"have+all+these",1,"have+all","these","have+all+these",43,0.00037147102526003,0.0222882615156018
"all+these+amazing",1,"all+these","amazing","all+these+amazing",44,0.00037147102526003,0.0226597325408618
"these+amazing+images",1,"these+amazing","images","these+amazing+images",45,0.00037147102526003,0.0230312035661218
"amazing+images+stored",1,"amazing+images","stored","amazing+images+stored",46,0.00037147102526003,0.0234026745913819
"images+stored+away",1,"images+stored","away","images+stored+away",47,0.00037147102526003,0.0237741456166419
"stored+away+ready",1,"stored+away","ready","stored+away+ready",48,0.00037147102526003,0.0241456166419019
"away+ready+to",1,"away+ready","to","away+ready+to",49,0.00037147102526003,0.0245170876671619
"ready+to+come",1,"ready+to","come","ready+to+come",50,0.00037147102526003,0.024888558692422
"to+come+to",1,"to+come","to","to+come+to",51,0.00037147102526003,0.025260029717682
"come+to+life",1,"come+to","life","come+to+life",52,0.00037147102526003,0.025631500742942
"to+life+when",1,"to+life","when","to+life+when",53,0.00037147102526003,0.0260029717682021
"life+when+we",1,"life+when","we","life+when+we",54,0.00037147102526003,0.0263744427934621
"when+we+get",1,"when+we","get","when+we+get",55,0.00037147102526003,0.0267459138187221
"we+get+our",1,"we+get","our","we+get+our",56,0.00037147102526003,0.0271173848439821
"get+our+home",1,"get+our","home","get+our+home",57,0.00037147102526003,0.0274888558692422
"with+graduation+season",1,"with+graduation","season","with+graduation+season",58,0.00037147102526003,0.0278603268945022
"graduation+season+right",1,"graduation+season","right","graduation+season+right",59,0.00037147102526003,0.0282317979197622
"season+right+around",1,"season+right","around","season+right+around",60,0.00037147102526003,0.0286032689450222
"right+around+the",1,"right+around","the","right+around+the",61,0.00037147102526003,0.0289747399702823
"around+the+corner",1,"around+the","corner","around+the+corner",62,0.00037147102526003,0.0293462109955423
"the+corner+nancy",1,"the+corner","nancy","the+corner+nancy",63,0.00037147102526003,0.0297176820208023
"corner+nancy+has",1,"corner+nancy","has","corner+nancy+has",64,0.00037147102526003,0.0300891530460624
"nancy+has+whipped",1,"nancy+has","whipped","nancy+has+whipped",65,0.00037147102526003,0.0304606240713224
"has+whipped+up",1,"has+whipped","up","has+whipped+up",66,0.00037147102526003,0.0308320950965824
"whipped+up+a",1,"whipped+up","a","whipped+up+a",67,0.00037147102526003,0.0312035661218424
"up+a+fun",1,"up+a","fun","up+a+fun",68,0.00037147102526003,0.0315750371471025
"a+fun+set",1,"a+fun","set","a+fun+set",69,0.00037147102526003,0.0319465081723625
"fun+set+to",1,"fun+set","to","fun+set+to",70,0.00037147102526003,0.0323179791976225
"set+to+help",1,"set+to","help","set+to+help",71,0.00037147102526003,0.0326894502228826
"to+help+you",1,"to+help","you","to+help+you",72,0.00037147102526003,0.0330609212481426
"help+you+out",1,"help+you","out","help+you+out",73,0.00037147102526003,0.0334323922734026
"you+out+with",1,"you+out","with","you+out+with",74,0.00037147102526003,0.0338038632986626
"out+with+not",1,"out+with","not","out+with+not",75,0.00037147102526003,0.0341753343239227
"with+not+only",1,"with+not","only","with+not+only",76,0.00037147102526003,0.0345468053491827
"not+only+your",1,"not+only","your","not+only+your",77,0.00037147102526003,0.0349182763744427
"only+your+graduation",1,"only+your","graduation","only+your+graduation",78,0.00037147102526003,0.0352897473997028
"your+graduation+cards",1,"your+graduation","cards","your+graduation+cards",79,0.00037147102526003,0.0356612184249628
"graduation+cards+and",1,"graduation+cards","and","graduation+cards+and",80,0.00037147102526003,0.0360326894502228
"cards+and+gifts",1,"cards+and","gifts","cards+and+gifts",81,0.00037147102526003,0.0364041604754828
"and+gifts+but",1,"and+gifts","but","and+gifts+but",82,0.00037147102526003,0.0367756315007429
"gifts+but+any",1,"gifts+but","any","gifts+but+any",83,0.00037147102526003,0.0371471025260029
"but+any+occasion",1,"but+any","occasion","but+any+occasion",84,0.00037147102526003,0.0375185735512629
"any+occasion+that",1,"any+occasion","that","any+occasion+that",85,0.00037147102526003,0.037890044576523
"occasion+that+brings",1,"occasion+that","brings","occasion+that+brings",86,0.00037147102526003,0.038261515601783
"that+brings+on",1,"that+brings","on","that+brings+on",87,0.00037147102526003,0.038632986627043
"brings+on+a",1,"brings+on","a","brings+on+a",88,0.00037147102526003,0.039004457652303
"on+a+change",1,"on+a","change","on+a+change",89,0.00037147102526003,0.0393759286775631
"a+change+in",1,"a+change","in","a+change+in",90,0.00037147102526003,0.0397473997028231
"change+in+one's",1,"change+in","one's","change+in+one's",91,0.00037147102526003,0.0401188707280831
"in+one's+life",1,"in+one's","life","in+one's+life",92,0.00037147102526003,0.0404903417533432
"one's+life+i",1,"one's+life","i","one's+life+i",93,0.00037147102526003,0.0408618127786032
"life+i+stamped",1,"life+i","stamped","life+i+stamped",94,0.00037147102526003,0.0412332838038632
"i+stamped+the",1,"i+stamped","the","i+stamped+the",95,0.00037147102526003,0.0416047548291232
"stamped+the+images",1,"stamped+the","images","stamped+the+images",96,0.00037147102526003,0.0419762258543833
"the+images+in",1,"the+images","in","the+images+in",97,0.00037147102526003,0.0423476968796433
"images+in+memento",1,"images+in","memento","images+in+memento",98,0.00037147102526003,0.0427191679049033
"in+memento+tuxedo",1,"in+memento","tuxedo","in+memento+tuxedo",99,0.00037147102526003,0.0430906389301634
"memento+tuxedo+black",1,"memento+tuxedo","black","memento+tuxedo+black",100,0.00037147102526003,0.0434621099554234
"tuxedo+black+and",1,"tuxedo+black","and","tuxedo+black+and",101,0.00037147102526003,0.0438335809806834
"black+and+cut",1,"black+and","cut","black+and+cut",102,0.00037147102526003,0.0442050520059434
"and+cut+them",1,"and+cut","them","and+cut+them",103,0.00037147102526003,0.0445765230312035
"cut+them+out",1,"cut+them","out","cut+them+out",104,0.00037147102526003,0.0449479940564635
"them+out+with",1,"them+out","with","them+out+with",105,0.00037147102526003,0.0453194650817235
"out+with+circle",1,"out+with","circle","out+with+circle",106,0.00037147102526003,0.0456909361069836
"with+circle+nestabilities",1,"with+circle","nestabilities","with+circle+nestabilities",107,0.00037147102526003,0.0460624071322436
"circle+nestabilities+i",1,"circle+nestabilities","i","circle+nestabilities+i",108,0.00037147102526003,0.0464338781575036
"nestabilities+i+embossed",1,"nestabilities+i","embossed","nestabilities+i+embossed",109,0.00037147102526003,0.0468053491827636
"i+embossed+the",1,"i+embossed","the","i+embossed+the",110,0.00037147102526003,0.0471768202080237
"embossed+the+kraft",1,"embossed+the","kraft","embossed+the+kraft",111,0.00037147102526003,0.0475482912332837
