"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"1","We love you Mr. Brown.",NA,NA,"we","love","you","c(2298, 2301, 4402)","c(1, 1, 1)","c(1002, 1002, 1865)","c(1184, 1986, 1028)","c(2209, 2211, 4237)","c(1567, 2470, 268)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.614961139896375, 0.907383419689122, 0.194300518134715)",0.0499999999999972,FALSE
"2","so anyways, i am going to share some home decor inspiration that i have been storing in my folder on the puter. i have all these amazing images stored away ready to come to life when we get our home.","that","i","have","been","storing","c(5520, 5521, 5525)","c(1, 1, 1)","c(4522, 4522, 4522)","c(133, 243, 1429)","c(5483, 5484, 5488)","c(212, 225, 250)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.176165803108809, 0.180375647668394, 0.188471502590674)",0.0899999999999963,FALSE
"3","Other friends have similar stories, of how they were treated brusquely by Laurelwood staff, and as often as not, the same names keep coming up. About a half-dozen friends of mine refuse to step foot in there ever again because of it. How many others they’re telling - and keeping away - one can only guess.",NA,NA,NA,"other","friends","c(2848, 2854, 2852)","c(1, 1, 1)","c(1203, 1203, 1203)","c(79, 1633, 991)","c(2734, 2740, 2738)","c(1123, 1661, 1726)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.471178756476685, 0.645401554404147, 0.666450777202075)",0,FALSE
"4","Pure large leaf Assam. No waffling with the leaf, thank you. I want it strong and dark with no herby frills. And for goodness sake no fruit mixers and no sweetener. Why would you do that to tea?","with","no","herby","frills","and","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"5","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","parish","council","the","use","of","c(4294, 3904, 3809)","c(1, 1, 1)","c(1833, 1718, 1718)","c(1741, 1980, 1190)","c(4135, 3767, 3677)","c(387, 199, 202)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.232836787564767, 0.171955958549223, 0.172927461139897)",0.0600000000000023,FALSE
"6","State contracts worth over 100 MILLION ringgit!",NA,"state","contracts","worth","over","4619","1","1937","1741","4445","1740","0.000323834196891192","0.670984455958551",0,FALSE
"7","People like you are unknowing transformers of things, protected by your own fairy-tale, by love.”","like","you","are","unknowing","transformers","c(5342, 5344, 5347)","c(1, 1, 1)","c(4447, 4447, 4447)","c(1124, 1212, 1524)","c(5315, 5316, 5318)","c(559, 1347, 1349)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.288536269430053, 0.543717616580313, 0.544365284974095)",0.0399999999999991,FALSE
"8","The one thing that was astounding though was the support from the marshals – they were all phenomenal for being out in the rain for so long and remaining so cheery and supportive. They were an amazing bunch. Owing to the nature of the course and very few closed roads meant that supporters who knew the area were able to skip around the course and a few people were seen about 5 or 6 times which was also super!!","","times","which","was","also","c(4363, 4338, 4359)","c(1, 1, 1)","c(1856, 1856, 1856)","c(1867, 290, 1760)","c(4201, 4176, 4197)","c(280, 530, 775)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.19818652849741, 0.279145077720208, 0.35848445595855)",0.019999999999996,FALSE
"9","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","salesman","tried","breaking","into","our","c(1945, 1944, 1946)","c(1, 1, 1)","c(854, 854, 854)","c(1739, 1218, 1741)","c(1870, 1869, 1871)","c(258, 2339, 2637)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.191062176165804, 0.864961139896376, 0.961463730569951)",0.0300000000000011,FALSE
"10","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","a","show","about","a","book","c(4939, 4918, 4905)","c(1, 1, 1)","c(4352, 4352, 4352)","c(656, 295, 166)","c(4925, 4906, 4895)","c(326, 345, 422)","c(0.000323834196891192, 0.000323834196891192, 0.000323834196891192)","c(0.213082901554405, 0.219235751295337, 0.244170984455959)",0.0799999999999983,FALSE
