"","count"
"enjoy",104
"rt",875
"appointments",4
"booked",10
"rva",4
"restaurant",14
"week",265
"reservation",2
"made",192
"monday",82
"couldn't",49
"come",395
"any",285
"sooner",8
"no",734
"holly",3
"didn't",168
"run",110
"off",336
"stage",37
"bwahaha",1
"lol",654
"that's",332
"incredibly",11
"easy",55
"to",7922
"simulate",1
"and",4458
"what",1077
"about",891
"the",9400
"spray",2
"tan",9
"smell",20
"you",5444
"doing",231
"it",2951
"reading",70
"jesus",27
"is",3558
"drastically",2
"different",58
"than",330
"a",6001
"relationship",24
"with",1680
"matters",9
"totally",62
"agree",66
"great",793
"graduated",4
"on",2721
"way",336
"real",165
"world",224
"of",3650
"music",199
"sweet",93
"recommendation",10
"can't",464
"go",735
"wrong",94
"kiss",20
"every",182
"night",411
"i",7229
"bed",81
"take",278
"trip",60
"inside",41
"my",2790
"head",80
"wonder",67
"still",402
"don't",794
"have",1678
"number",64
"yeah",187
"some",639
"are",1667
"exerting",1
"bit",56
"too",602
"much",435
"for",3888
"beefcake",1
"q",25
"how",720
"many",183
"pa's",1
"does",221
"screw",14
"in",3789
"light",45
"bulba",1
"nineone",1
"do",979
"eight",6
"others",49
"wish",200
"they'd",8
"been",438
"asked",25
"ah",52
"awesome",223
"remember",112
"th",191
"grade",21
"having",162
"bobby",9
"orr",1
"sign",40
"that",2314
"pic",45
"me",2026
"at",1862
"walter",2
"brown",24
"arena",6
"ok",140
"starting",79
"design",27
"process",16
"indie",8
"game",288
"first",295
"day",917
"n",118
"him",260
"st",115
"met",34
"haha",290
"sent",37
"wmag",1
"tweet",194
"photoshop",7
"kstew",1
"would",504
"love",1043
"see",713
"before",187
"photo",27
"looks",123
"more",673
"like",1270
"clean",31
"sober",4
"lohan",3
"house",153
"florida",40
"lucky",45
"only",380
"california",17
"there",610
"one",837
"out",1121
"newt",6
"callista",1
"marianne",2
"should",359
"jerry",13
"springer's",1
"show",316
"sakiri",2
"vodka",7
"latest",19
"news",107
"we",1342
"officially",44
"announcing",3
"has",460
"provider",1
"tv",70
"series",45
"csi",3
"deal",56
"all",1192
"ask",92
"park",53
"nowweather",1
"perfect",79
"happy",489
"mother",32
"nature",10
"today",720
"ugh",51
"think",512
"may",175
"be",1949
"food",123
"poisoning",2
"this",1621
"not",1274
"eat",74
"public",44
"just",1476
"keeps",24
"getting",226
"better",310
"u",752
"her",316
"heart",100
"please",297
"she",282
"crazy",112
"mum",6
"so",1612
"imma",18
"let",243
"oakwood",2
"relax",14
"kinda",41
"surprised",16
"haley",2
"assume",10
"really",430
"your",1719
"tweets",93
"they",678
"relate",3
"well",402
"plus",35
"thy",5
"teach",22
"good",959
